"","Weather Forecast for Main Cities","","","Date :","6-Jun-2025"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","35","26","90","60","Mainly fair"
"Batticaloa","34","27","85","50","Mainly fair"
"Colombo","31","26","90","70","Several spells of light showers"
"Galle","30","27","90","80","Several spells of light showers"
"Jaffna","33","28","85","65","Mainly fair"
"Kandy","31","21","95","65","Several spells of light showers"
"Nuwara-Eliya","22","14","95","75","Several spells of light showers"
"Ratnapura","33","24","95","70","Several spells of showers"
"Trincomalee","36","26","85","50","Mainly fair"
"Mannar","32","28","85","70","Mainly fair"
