"","Weather Forecast for Main Cities","","","","26-May-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","31","25","95","75","Several spells of showers"
"Batticaloa","33","27","90","70","A few showers"
"Colombo","30","26","90","75","Showers or thundershowers at times"
"Galle","29","25","95","80","Showers or thundershowers at times"
"Jaffna","31","28","85","75","Several spells of showers"
"Kandy","28","23","90","75","Showers or thundershowers at times"
"Nuwara-Eliya","17","15","95","90","Showers or thundershowers at times"
"Ratnapura","30","24","95","80","Showers or thundershowers at times"
"Trincomalee","32","26","90","60","A few showers"
"Mannar","31","26","85","70","Showers or thundershowers"
