"a","","","","","","","","","","","","","",""
"","","","","","","Page 2","","","","","","","",""
"Heavy Rain / High","","","","","","","","","","","","","",""
"Dehiovita","2021.03.21","10","40","","","","","9","5","","","","",""
"ෑගල්ල/Nffhi","Wind & cutting faliture","","","","","","","","","","","","",""
"7","","","","","","","","","","","","","",""
"y/Kegalle","","","","","","","","","","","","","",""
"","2021.03.13/","","","","","","","","","","","","",""
"Ruwanwella","Lightning & Tree fallen","2","7","","","","","2","","","","","",""
"","09","","","","","","","","","","","","",""
"දිස්ත්‍රික් එ තුව khtl;l $l;Lj;njhif District Total","","12","47","0","0","","0","11","5","0","0","0","0","0"
"පළොත් ඵ තුව khfhz $l;Lj;njhif  Province Total","","55","213","0","0","","0","12","41","2","0","1","3","19"
"පුත්තලම/ 
Pallama
High Wind","2021.03.23","4","16","","","","","","3","1","","","",""
"වයඹ 
8","","","","","","","","","","","","","",""
"Gj;jsk;/Puttala","","","","","","","","","","","","","",""
"පලොත/tlNky; 
Chillaw
Lightning
m","2021.03.24","1","5","","","","1","","1","1","","","",""
"khfhzk;/","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එ තුව khtl;l $l;Lj;njhif District Total
North","","5","21","0","0","","1","0","4","2","0","0","0","0"
"Western/","","","","","","","","","","","","","",""
"පළොත් ඵ තුව khfhz $l;Lj;njhif  Province Total","","5","21","0","0","","1","0","4","2","0","0","0","0"
"කිලිකනොච්චිය/fpsp","","","","","","","","","","","","","",""
"9
Karachchi
High wind
nehr;rp/ 
උතුරු","2021.03.20","7","19","","","","","","7","","1","","",""
"Killinochchi
පලොත/tl","","","","","","","","","","","","","",""
"khfhzk;/ 
දිස්ත්‍රික් එ තුව khtl;l $l;Lj;njhif District Total","","7","19","0","0","","0","0","7","0","1","0","0","0"
"Northen/ ;","","","","","","","","","","","","","",""
"පළොත් ඵ තුව khfhz $l;Lj;njhif  Province Total","","7","19","0","0","","0","0","7","0","1","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","132","570","0","1","","1","44","85","4","1","5","62","307"
