"","","","","","","","","","","Enterprises","Infrastructure","Locations","",""
"","","","","","","","","","","Damages","","","",""
"","","","","","","","","","","","","","","1. Koslanda watta tea"
"","","","","","","","","","","","","","","factory 2.Dambethenna"
"","","","","","","","","","","","","","","3.Poonagala Tea"
"","Landslide Risk","2023.10.14-27","","","","","","","","","","5","120","Factory 4.Bathgoda 
427"
"","","","","","","","","","","","","","","Tamil School"
"Haldumulla","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","5.Haldumulla No 02"
"","","","","","","","","","","","","","","Tamil Collage"
"","Landslide Risk","2023.12.03","1","5","","","","","","","","","",""
"","Heavy Rain","2023.12.03","2","9","","","","","2","","","","",""
"","Cutting Faliure","2023.10.14-11.16","","","","","","","","","","1","3","7 Udaperuwa Muslim"
"","","","","","","","","","","","","","","Mosque"
"Bandarawela","","","","","","","","","","","","","",""
"බදුල්ල","","","","","","","","","","","","","",""
"","Heavy Rain","2023.12.02-03","2","8","","","","","2","","","","",""
"1
gJs;is","","","","","","","","","","","","","",""
"ඌව","","","","","","","","","","","","","",""
"Badulla","Landslide Risk","2023.10.23","","","","","","","","","","1","9","22 Galkanda Muthuwana"
"Cth khfhzk;","","","","","","","","","","","","","","School"
"Haputhale
Uva","","","","","","","","","","","","","",""
"","Landslide Risk","2023.10.22","","","","","","","","","","1","17","81 Kalban Vidyalaya"
"","Landslide Risk","2023.11.20","","","","","","","","","","1","7","26 Glanor Tamil School"
"","Landslide Risk","2023.11.14","","","","","","","","","","1","7","19  Thuparama Temple"
"Uwa Paranagama","","","","","","","","","","","","","",""
"","Heavy Rain","2023.12.03","1","5","","","","","1","","","","",""
"Haliela","Heavy Rain","2023.12.03","2","4","","","","","2","","","","",""
"Ella","Heavy Rain","2023.11.23","","","","","","","","","","1","2","7 Karandagolle temple"
"Kendaketiya","Heavy Rain","2023.12.03","1","5","","","","","1","","","","",""
"Meegahakiwula","High wind","2023.12.04","2","8","","","","","2","","","","",""
"Lunugala","Cutting Faliure","2023.12.02","1","4","","","","","1","","","","",""
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","12","48","0","0","0","0","11","0","0","11","165","589"
"පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","12","48","0","0","0","0","11","0","0","11","165","589"
"","High wind","2023.12.04","1","6","","","","","1","","","","",""
"Bulathkohupitiya","Lightning","2023.12.04","1","7","","","","","1","","","","",""
"","Cutting Faliure","2023.12.04","2","9","","","","","2","","","","",""
"කෑගල්ල","","","","","","","","","","","","","",""
"Rambukkana","Collapse of a wall","2023.12.02","1","4","","","","","1","","","","",""
"Nffhiy   
2","","","","","","","","","","","","","",""
"Kegalle","Collapse of a wall","2023.12.04","1","5","","","","","1","","","","",""
"Warakapola","","","","","","","","","","","","","",""
"","Tree Fallen","2023.12.04","1","3","","","","","1","","","","",""
"Mawanella","Cutting Faliure","2023.12.04","1","1","","","","","","","","","",""
"Ruwanwella","Tree Fallen","2023.12.04","1","5","","","","","1","","","","",""
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","9","40","0","0","0","0","8","0","0","0","0","0"
