"","khtl;lk ; 
gpuNjr nra.gp","","","FLk;gq;f","egHfs;","","","","","","","","","","","","FLk;gq;","egHfs;"
"","","","","","","","","","KOik","sT","","Kaw;rpfs;","","fl;likg;Gf;fs;","","if","",""
"","District
  DS Division","","","s;","People","","","g","","","","","","","","","fs;","Persons"
"","","","","","","","People","","","Partiall","","Small, Medium,","","Damages to","","Safety","",""
"","","","","","","","","","Fully","","","","","","","","",""
"","","","","Families","","","","People","","","","","","","","","Families",""
"","","","","","","","","","","y","","Enterprises","","critical","","Location","",""
"","","","","","","","","","","","","Damages","","Infastructure","","","",""
"","","","","","","","","","","","","","","","","s","",""
"","","Drought","2019.01.24","12","52","","","","","","","","","","","","",""
"","Deraniyagala","","","","","","","","","","","","","","","","",""
"","","Lightning / High","","","","","","","","","","","","","","","",""
"","","","2019.02.16","9","35","","","","","","9","","","","","","",""
"","","Wind","","","","","","","","","","","","","","","",""
"","Galigamuwa","","2019.01.24","145","567","","","","","","","","","","","","",""
"","Kegalle","Drought","2019.01.16","26","60","","","","","","","","","","","","",""
"","කෑගල්ල","","","","","","","","","","","","","","","","",""
"1","Nffhiy","","","","","","","","","","","","","","","","",""
"සබරගමුෙ පලාත","","","2019.01.22","97","382","","","","","","","","","","","","",""
"Kegalle","Bulathkohupitiya","","","","","","","","","","","","","","","","",""
"rg;ufKt","","Lightning / High","","","","","","","","","","","","","","","",""
"","","","2019.02.17","7","24","","","","","","10","","","","","","",""
"Sabaragamuwa","","Wind","","","","","","","","","","","","","","","",""
"","","Drought","2019.01.22","92","458","","","","","","","","","","","","",""
"","Ruwanwella","","","","","","","","","","","","","","","","",""
"","","","2019.02.16","2","8","","","","","","2","","","","","","",""
"","","Lightning","","","","","","","","","","","","","","","",""
"","Yatiyantota","","2019.02.17","5","18","","","","","","1","","","","","","",""
"","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","395","1604","0","0","0","0","","22","","0","","0","0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","395","1604","0","0","0","0","","22","","0","","0","0","0","0"
"පුත්තලම","","","","","","","","","","","","","","","","","",""
"","Dankotuwa","","","13","52","","","","","","","","","","","","",""
"2
ෙයඹ පලාත   
Gj;jsk;","","Drought","2019.01.24","","","","","","","","","","","","","","",""
"tlNky;","Arachchikattuwa
Puttalam","","","226","821","","","","","","","","","","","","",""
"khfhzk;","","","","","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","239","873","0","0","0","0","","0","","0","","0","0","0","0"
"North Western","","","","","","","","","","","","","","","","","",""
"","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","239","873","0","0","0","0","","0","","0","","0","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","","","634","2477","0","0","0","0","","22","","0","","0","0","0","0"
