"","Weather Forecast for Main Cities","","","Date :","14-Aug-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","32","24","90","55","Mainly fair"
"Batticaloa","34","24","85","55","Showers or thundershowers are likely after 2.00p.m"
"Colombo","30","26","85","75","Several spells of showers"
"Galle","30","27","90","80","Several spells of light showers"
"Jaffna","30","26","95","75","Mainly fair"
"Kandy","28","21","90","80","Several spells of showers"
"Nuwara-Eliya","18","14","95","85","Several spells of light showers"
"Ratnapura","31","23","95","85","Several spells of showers"
"Trincomalee","33","25","85","55","Mainly fair"
"Mannar","31","27","90","75","Mainly fair"
