"දිනය/යේලාව)","ස
්ථානය","උපරිම සුළයේ යේගය (පැයට කි. මි.)","කැළඹිලි ස්වභාවය"
"(ශ්‍රී ලංකා පැය)","(උතුරු අක්ාංශ oN","",""
"","නැයගනහි","",""
"","යද්ශාංශ  oE)","",""
"03.12.23/1130","11.9/82.1","65-75, විටින් විට 85 දක්වා","සුළි කුණාටුවක්"
"03.12.23/1730","12.4/81.6","70-80, විටින් විට 90 දක්වා","සුළි කුණාටුවක්"
"04.12.23/0530","13.5/81.0","80-90, විටින් විට 100 දක්වා","සුළි කුණාටුවක්"
"04.12.23/1730","14.5/80.7","80-90, විටින් විට 100 දක්වා","සුළි කුණාටුවක්"
"05.12.23/0530","15.5/80.7","80-90, විටින් විට 100 දක්වා","සුළි කුණාටුවක්"
"05.12.23/1730","16.5/81.2","60-70, විටින් විට 85 දක්වා","සුළි කුණාටුවක්"
"06.12.23/0530","17.5/82.3","40-50, විටින් විට 60 දක්වා","පීඩන අවපාතයක්"
"06.12.23/1730","18.5/83.3","20-30, විටින් විට 40 දක්වා","අඩු පීඩන කලාපයක්"
