"","","","","","Page 3","","","","","","","","",""
"Vavuniya","","2020.09.20","3","12","","","","","3","","","","",""
"වව්නනියාව","","","","","","","","","","","","","",""
"Vavuniya South","","2020.09.20","3","11","","","","","3","","","","",""
"9
tTdpah","High Wind","","","","","","","","","","","","",""
"Vavuniya North","","2020.09.21","3","8","","","","","3","","","","",""
"Vavuniya","","","","","","","","","","","","","",""
"Vengalacheddikulam","","2020.09.21","2","3","","","","","1","1","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","11","34","0","0","0","0","10","1","0","0","0","0"
"උතුරු පලාත            
Puthukudiyiruppu","","","7","22","","","","","7","","","","",""
"tlkhfhzk","","","","","","","","","","","","","",""
"Oddusuddan","","","2","7","","","","","2","","","","",""
"මුලතිව්න                   
Northen","","","","","","","","","","","","","",""
"10
   Ky;iyj;jPT 
Welioya","High Wind","2020.09.21","2","5","","","","","2","","","","",""
"Mulaitivu","","","","","","","","","","","","","",""
"Thunukal","","","1","5","","","","","1","","","","",""
"Maritimepattu","","","1","5","","","","","1","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","13","44","0","0","0","0","13","0","0","0","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","24","78","0","0","0","0","23","1","0","0","0","0"
"වයඹ පලාත        
Madampe","","","1","3","","","","","1","","","","",""
"පුත්තලම","","","","","","","","","","","","","",""
"11
 North","High Wind","2020.09.23","","","","","","","","","","","",""
"Gj;jsk;   Puttalam
Naaththandiya","","","1","4","","","","","","","","","",""
"Western","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","2","7","0","0","0","0","1","0","0","0","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","2","7","0","0","0","0","1","0","0","0","0","0"
"Pathavisripura","","","3","5","","","","","3","","","","",""
"නැ්ගනහිර පලාත 
ත්‍රීකුණාමලය","","","","","","","","","","","","","",""
"12
Town and Gravets
fpof;F      
jp.kiy","High Wind & Heavy rain","2020.09.24","4","12","","","","","2","","","","",""
"Eastern
Trincomalee","","","","","","","","","","","","","",""
"Kuchchaveli","","","4","14","","","","","3","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","11","31","0","0","0","0","8","0","0","0","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","11","31","0","0","0","0","8","0","0","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","","482","1809","3","4","0","39","368","9","0","3","49","187"
