"","Weather Forecast for Main Cities","","","Date :","4-Jan-2025"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","30","21","95","60","Mainly fair"
"Batticaloa","28","24","90","75","Mainly fair"
"Colombo","29","24","80","65","Showers or thundershowers are likely after 2.00p.m"
"Galle","28","24","95","85","Showers or thundershowers are likely after 2.00p.m"
"Jaffna","30","24","95","65","Mainly fair"
"Kandy","26","19","95","75","Showers or thundershowers are likely after 2.00p.m"
"Nuwara-Eliya","16","14","95","85","Showers or thundershowers after 2.00p.m"
"Ratnapura","29","23","95","80","Showers or thundershowers after 2.00p.m"
"Trincomalee","28","25","80","65","Mainly fair"
"Mannar","29","26","80","60","Mainly fair"
