"","Weather Forecast for Main Cities","","","Date :","3-Aug-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","32","25","95","65","Showers or thundershowers after 2.00p.m"
"Batticaloa","31","25","90","60","Showers or thundershowers after 2.00p.m"
"Colombo","29","26","95","80","Several spells of showers"
"Galle","28","26","95","75","Showers at times"
"Jaffna","33","26","90","60","Several spells of showers"
"Kandy","29","23","95","70","Showers or thundershowers after 2.00p.m"
"Nuwara-Eliya","19","14","95","70","Showers or thundershowers after 2.00p.m"
"Ratnapura","30","25","95","70","Several spells of showers"
"Trincomalee","32","23","90","55","Showers or thundershowers after 4.00p.m"
"Mannar","31","26","90","70","Several spells of showers"
