"","","","","","Page 2","","","","","","","","","","","Situation Report on 2019.11.05 at 1800 hrs.xlsx"
"","","Ruwanwella
Tree Fallen","2020.10.14
5","19","","","","","","1","","","","","",""
"","","Warakapola
High Wind","2020.10.14
2","8","","","","","","2","1","","","","",""
"","","Bulathkohupitiya
High Wind","2020.10.15
2","9","","","","","","2","","","","","",""
"","","Aranayake
Tree Fallen","2020.10.14
1","2","","","","","","","","","","","",""
"","කෑගල්ල","Mawanella
Tree Fallen","2020.10.15
2","8","","","","","","2","","","","","",""
"7","Nffhiy","","","","","","","","","","","","","","",""
"","","Heavy Rain","2020.10.15
5","27","","","","","","5","","","","","",""
"","Kegalle","Yatiyanthota","","","","","","","","","","","","","",""
"","","Lightning","2020.10.15
2","9","","","","","","2","","","","","",""
"ස්ත්‍බරගමුව පලොත","","","","","","","","","","","","","","","",""
"rg;ufKt","","Rambukkana
Wind","2020.10.14
3","12","","","","","","2","1","","","","",""
"Sabaragamuwa","","Kegalle
Tree Fallen","2020.10.14
1","2","","","","","","1","","","","","",""
"","","","","","","","","","","","","","","","","One Person died due to Tree"
"","","Galigamuwa
High Wind","14
2020.10.14","52","","1","","","","11","","","","","",""
"","","","","","","","","","","","","","","","Fallen",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","37","148","","1","0","0","0","28","2","0","0","0","0",""
"","රත්නපුර","Balangoda
Rock Fallen Risk","2020.10.12
15","65","","","","","","","","","2","13","56 Pettigala Tamil School",""
"8",",uj;jpdGhp","","","","","","","","","","","","","","",""
"","Rathnapura","Imbulpe
Hlgh Wind","2020.10.14
9","34","","2","1","","","5","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","24","99","","2","1","0","0","5","0","0","2","13","56",""
"","පළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","61","247","","3","1","0","0","33","2","0","2","13","56",""
"","මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","120","473","","4","1","0","12","79","3","0","3","25","110",""
