"","Weather Forecast for Main Cities","","","Date :","16-Aug-2025",""
"","Temperature (0C)","","","Relative Humidity (%)","",""
"City","","","","","","Weather"
"","Max","Min","Max","Min","",""
"Anuradhapura","34","25","90","55","Mainly fair",""
"Batticaloa","34","26","85","60","Mainly fair",""
"Colombo","31","25","90","75","Several spells of showers",""
"Galle","30","24","95","80","Several spells of showers",""
"Jaffna","31","27","90","80","A few showers",""
"Kandy","28","22","95","70","Several spells of showers",""
"Nuwara-Eliya","18","13","95","75","Several spells of showers",""
"Ratnapura","31","23","95","70","Several spells of showers",""
"Trincomalee","34","26","80","50","Mainly fair",""
"Mannar","31","27","90","75","Mainly fair",""
