"","Weather Forecast for Main Cities","","","","29-Mar-2023"
"","","Temperature (0C)","Relative Humidity (%)","",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","25","95","50","Mainly fair"
"Batticaloa","31","25","95","65","Mainly fair"
"Colombo","32","26","90","70","Showers or thundershowers are likely after 4.00p.m"
"Galle","30","25","90","75","Showers or thundershowers are likely after 4.00p.m"
"Jaffna","33","24","85","60","Mainly fair"
"Kandy","32","21","95","60","Mainly fair"
"Nuwara-Eliya","23","9","90","55","Mainly fair"
"Ratnapura","34","24","95","65","Showers or thundershowers are likely after 2.00p.m"
"Trincomalee","33","25","90","70","Mainly fair"
"Mannar","33","26","90","65","Showers or thundershowers are likely after 4.00p.m"
