"","ප්‍රධාන  නගර සදහා කාලගුණ අනාවැකිය","","","",""
"","","උෂ්ණත්වය(සස. අංශක)","","සාසේක්ෂ ආර්ද්‍රතාවය(%)",""
"නගරය","","","","","කාලගුණය"
"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධපුරය","32","24","90","55","ප්‍රධාන වශයයන් වැසි රහිත"
"මඩකලපුව","30","25","80","65","ප්‍රධාන වශයයන් වැසි රහිත"
"යකාළඹ","32","26","85","60","ප්‍රධාන වශයයන් වැසි රහිත"
"ගාල්ල","32","25","85","60","සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති  විය හැක"
"යාපනය","31","22","90","65","ප්‍රධාන වශයයන් වැසි රහිත"
"මහනුවර","30","19","90","55","ප්‍රධාන වශයයන් වැසි රහිත"
"නුවරඑළිය","20","10","90","40","ප්‍රධාන වශයයන් වැසි රහිත"
"රත්නපුරය","35","22","90","40","සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති  විය හැක"
"ත්‍රිකුණාමලය","30","25","85","65","ප්‍රධාන වශයයන් වැසි රහිත"
"මන්නාරම","31","25","90","65","ප්‍රධාන වශයයන් වැසි රහිත"
