"Bulathsinghala","1","1","","","","","1","","","","",""
"Horana","8","38","","","","","5","","","","",""
"Panadura","5","24","","","","","2","","","","",""
"Mathugama","1","4","","","","","1","","","","",""
"කළුතර","","","","","","","","","","","",""
"Heavy rain / Flood /","","","","","","","","","","","",""
"23
fSj;Jiw        
Madurawala","2024.11.26 / 27
2","6","","","","","1","","","","",""
"High Wind","","","","","","","","","","","",""
"Kalutara","","","","","","","","","","","",""
"Bandaragama","4","18","","","","","4","","","","",""
"Beruwala","3","12","","","","","3","","","","",""
"Western          
Ingiriya","3","6","","","","","3","","","","",""
"Nky; khfhzk;  
Walallavita","3","11","","","","","2","","","","",""
"බස්ත්‍රනාහිර පලාත","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","30","120","0","0","0","0","22","0","0","0","0","0"
"Dompe","17","47","","","","","","","","","",""
"Negambo","383","1611","","3","","","3","","","","",""
"Minuwangoda","4","12","","","","","4","","","","",""
"ගම්පහ","","","","","","","","","","","",""
"Kelaniya
Flood / Wind / Heavy","2","9","","","","","2","","","","",""
"24
fk;g`h","2024.11.26 / 27","","","","","","","","","","",""
"Rain
Biyagama","1","4","","","","","1","","","","",""
"Gampaha","","","","","","","","","","","",""
"Katana","627","2836","","","","","","","","","",""
"Wattala","153","618","","","","","","","","1","1","5"
"Mahara","34","140","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","1221","5277","0","3","0","0","10","0","0","1","1","5"
