"ගමානරාෙල","","","","","","","","","","","","",""
"15
Siyambalanduwa
Flood
nkhdwhfiy","2021.11.26","15","60","","","","1","14","","","","",""
"ඌව Cth 
Moneragala","","","","","","","","","","","","",""
"khfhzk; Uva","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","15","60","0","0","0","1","14","0","0","0","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","15","60","0","0","0","1","14","0","0","0","0","0"
"16 ොේල fhyp 
Ambalangoda
Cutting Faliure
දකුනු පලාත","2021.11.27","1","3","","","","","1","","","","",""
"Galle","","","","","","","","","","","","",""
"njd;","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total
khfhzk;","","1","3","0","0","0","0","1","0","0","0","0","0"
"Southern","","","","","","","","","","","","",""
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","1","3","0","0","0","0","1","0","0","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","6954","24628","2","3","1","3","83","1","0","13","211","793"
"","","","","රාජකාරි භාර ිළධ්‍ාරි / flik mjpfhhp / Duty Officer : 011 2670002","","","","","","","","",""
