"","Weather Forecast for Main Cities","","","","27-Jan-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","31","22","90","50","A few showers"
"Batticaloa","30","23","90","65","Several spells of showers"
"Colombo","33","23","85","40","Mainly fair"
"Galle","30","24","85","65","Mainly fair"
"Jaffna","30","24","90","60","Mainly fair"
"Kandy","31","19","90","65","Showers or thundershowers are likely after 2.00p.m"
"Nuwara-Eliya","20","7","90","65","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","33","20","90","65","Showers or thundershowers are likely after 2.00p.m"
"Trincomalee","30","24","90","65","Several spells of showers"
"Mannar","30","25","90","60","Mainly fair"
