"දිනය/බේලාව)","ස
්ථානය","උපරිම සුළබග් බේගය (පැයට කි. මි.)","කැළඹිලි ස්වභාවය"
"(ශ්‍රී ලෙංකා පැය)","(උතුරු අක්්ාෙංශ oN","",""
"","නැබගනහිර","",""
"","බේශාෙංශ  oE)","",""
"10.05.23/0530","9.3/88.5","50-60 විටින් විට 70 දක්වා","ගැඹුරු පීඩන අවොතයක්"
"10.05.23/1730","10.3/88.1","80-90 විටින් විට 100 දක්වා","සුළි කුණාටුවක්"
"11.05.23/0530","11.4/87.4","90-100 විටින් විට 110 දක්වා","චණ්ඩ සුළි කුණාටුවක්"
"11.05.23/1730","12.7/87.3","110-120 විටින් විට 130 දක්වා","ඉතා චණ්ඩ සුළි කුණාටුවක්"
"12.05.23/0530","13.5/87.4","130-140 විටින් විට 155 දක්වා","ඉතා චණ්ඩ සුළි කුණාටුවක්"
"12.05.23/1730","14.6/88.0","140-150 විටින් විට 165 දක්වා","ඉතා චණ්ඩ සුළි කුණාටුවක්"
