"","","","","","Page 2","","","","","","","","",""
"Attanagalle","Heavy Rain","2021.03.26","5","22","","","","","5","","","","",""
"Jaela","Lightning","2021.03.27","6","28","","","","","6","","","","",""
"බස්නොහිර පලොත 
Gampaha","High Wind","2021.03.27","2","8","","","","","2","","","","",""
"Western  
ගම්පහ","","","","","","","","","","","","","",""
"","","2021.03.22/","","","","","","","","","","","",""
"5
fk;g`h 
Nky; khfhzk","Tree Fallen","","4","18","","","","","4","","","","",""
"Dompe","","28","","","","","","","","","","","",""
"Gampaha","","","","","","","","","","","","","",""
"","Lightning","2021.03.27","1","3","","","","","1","","","","",""
"","Lightning","","1","3","","","","","1","","","","",""
"Meerigame","","2021.03.28","","","","","","","","","","","",""
"","High Wind","","1","3","","","","","1","","","","",""
"දිස්ික් එ තුව khtl;l $l;Lj;njhif District Total","","","20","85","0","0","0","0","20","0","0","0","0","0"
"පළොත් ඵ තුව khfhz $l;Lj;njhif  Province Total","","","47","227","0","0","0","0","47","0","0","1","27","142"
"","","","","","","","","","","","","","","Official residence of the"
"","Heavy Rain / High","","","","","","","","","","","","",""
"Balangoda","","2021.03.22","40","150","","","","1","35","1","","1","3","Municipal Secretary 
19"
"","Wind & Landslide Risk","","","","","","","","","","","","","Balangoda"
"","Lightning","","2","9","","","","","2","","","","",""
"","","2021.03.21","","","","","","","","","","","",""
"","High wind","","2","9","","","","","2","","","","",""
"Kiriella","","","","","","","","","","","","","",""
"","Lightning","2021.03.29","1","3","","","","","1","","","","",""
"","Heavy Rain","2021.03.29","5","14","","","","","","","","","",""
"","Lightning","2021.03.21","2","8","","","","","2","","","","",""
"Godakawela","","","","","","","","","","","","","",""
"","","2021.03.28","1","5","","","","","1","","","","",""
"","Heavy rain","","","","","","","","","","","","",""
"","","2021.03.29","1","6","","","","","1","","","","",""
"රත්නපුර","","","","","","","","","","","","","",""
"","","2021.03.21","2","7","","","","","2","","","","",""
"6
Elapatha
,uj;jpdGhp","","","","","","","","","","","","","",""
"Rathnapura","High wind","2021.03.29","2","8","","","","","2","","","","",""
"Imbulpe","","2021.03.24","1","4","","","","","1","","","","",""
"","Heavy Rain","","2","7","","","","","2","","","","",""
"","","2021.03.28","","","","","","","","","","","",""
"Nivithigala","","","1","4","","","","","1","","","","",""
"","Lightning","","","","","","","","","","","","",""
"","High Wind","2021.03.29","1","4","","","","","1","","","","",""
"සබරගමුව පලොත","","","","","","","","","","","","","",""
"rg;ufKt 
Opanayaka","","","5","22","","","","","5","","","","",""
"","Heavy Rain","2021.03.29","","","","","","","","","","","",""
"Sabaragamuw","","","","","","","","","","","","","",""
"Eheliyagoda","","","396","1381","","","","","4","","","","",""
"a","","","","","","","","","","","","","",""
"Kahawatta","Fire","2021.03.29","2","11","","","","","2","","","","",""
"","Cutting Faliure","","1","5","","","","","1","","","","",""
"Pelmadulla","","2021.03.29","","","","","","","","","","","",""
"","Heavy Rain","","1","4","","","","","1","","","","",""
"දිස්ික් එ තුව khtl;l $l;Lj;njhif District Total","","","468","1661","0","0","0","1","66","1","0","1","3","19"
"Warakapola","High Wind","","9","35","","","","1","8","","","","",""
"","","2021.03.27","","","","","","","","","","","",""
"Bulathkohupitiya","Lightning","","4","12","","","","","4","","","","",""
"Aranayaka","","","1","5","","","","","","","","","",""
"","High Wind","2021.03.28","","","","","","","","","","","",""
"Mawanella","","","1","6","","","","","","","","","",""
"ෑගල්ල","","","","","","","","","","","","","",""
"7
Nffhiy   
Dehiovita","Heavy Rain","2021.03.27","12","43","","","","","","","","","",""
"Kegalle","","","","","","","","","","","","","",""
"Kegalla","Tree Fallen","2021.03.28","3","14","","","","","3","","","","",""
"Rambukkana","","2021.03.25","1","4","","","","","1","","","","",""
"Deraniyagala","Heavy Rain","2021.03.28","4","16","","","","","4","","","","",""
"Galigamuwa","","2021.03.29","6","23","","","","","6","","","","",""
"දිස්ික් එ තුව khtl;l $l;Lj;njhif District Total","","","41","158","0","0","0","1","26","0","0","0","0","0"
