"","Weather Forecast for Main Cities","","","","2024-08-24"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","32","25","90","70","Mainly fair"
"Batticaloa","31","26","90","65","Showers or thundershowers are likely after 2.00p.m"
"Colombo","31","26","90","75","Several spells of light showers"
"Galle","30","26","95","80","Several spells of showers"
"Jaffna","31","27","85","70","Mainly fair"
"Kandy","31","22","95","65","Several spells of light showers"
"Nuwara-Eliya","22","16","95","65","Several spells of showers"
"Ratnapura","34","24","95","70","Several spells of showers"
"Trincomalee","32","25","90","65","Showers or thundershowers are likely after 2.00p.m"
"Mannar","31","27","85","70","Mainly fair"
