"න්‍ගරය","","","","","කාලගුණය"
"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධපුරය","32","25","90","60","ප්‍රධාන වශහයන් වැසි රහිත"
"මඩකලපුව","34","25","95","60","ප්‍රධාන වශහයන් වැසි රහිත"
"හකාළඹ","30","26","85","70","වැසි ස්වල්පයක්"
"ගාල්ල","29","26","90","80","වැසි ස්වල්පයක්"
"යාපනය","31","26","85","80","ප්‍රධාන වශහයන් වැසි රහිත"
"ම නුවර","29","21","90","65","වැසි ස්වල්පයක්"
"නුවරඑළිය","19","14","90","70","වැසි ස්වල්පයක්"
"රත්නපුරය","32","24","90","60","වැසි ස්වල්පයක්"
"ිකුණාමලය","34","25","85","50","ප්‍රධාන වශහයන් වැසි රහිත"
