"","","Medadumbara","Heavy Rain","2021.01.04","2","7","","","","1","1","","",""
"","","Gagaihala Korale","Mini Landslide","2021.01.05","2","7","","","","2","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","7","27","0","0","0","0
6","1","0","0
0","0"
"මධ්‍යම","","නුවරඑලිය","","","","","","","","","","","",""
"","","Nuwara Eliya","Land slide Risk","2020.12.21","3","14","","","","","","","1
3","14"
"පලාත/kj;jpa","4","Etnuypah","","","","","","","","","","","",""
"khfhzk;/ Central","","Ambagamuwa
Nuwara Eliya","Rock fallen","2021.01.04","1","5","","1","","1","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","4","19","0","1","0","0
1","0","0","1
3","14"
"","","මාතලේ","","","","","","","","","","","",""
"","5","Dambulle
khj;jis","Heavy Rain","2020.12.30","1","3","","","","1","","","",""
"","","Matale","","","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","1","3","0","0","0","0
1","0","0","0
0","0"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","12","49","0","1","0","0
8","1","0","1
3","14"
"","","පුත්තලම","","","","","","","","","","","",""
"","6","Arachikattuwa
Gj;jsk;","High Wind","2020.12.31","13","35","","","","1","","","",""
"වයඹ පලාත","","Puttalam","","","","","","","","","","","",""
"tlNky; khfhzk;","","","","","","","","","","","","","",""
"North Western","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","13","35","0","0","0","0
1","0","0","0
0","0"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","13","35","0","0","0","0
1","0","0","0
0","0"
"","","Seruwila","","","1","2","","","","1","","","",""
"","","ත්‍රීකුණාමලය","","","","","","","","","","","",""
"","7","jp.kiy","High Wind","2021.01.04/05","3","6","","","","3","","","",""
"","","Thambalagamam","","","","","","","","","","","",""
"","","Trincomalee","","","","","","","","","","","",""
"","","Morawewa","","","2","3","","","","2","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","6","11","0","0","0","0
6","0","0","0
0","0"
"","","Koralaipattu West","","","56","188","","","","","","","",""
"","","Koralaipattu","","","315","856","","","","","","","",""
"","","Koralaipattu Central","Flood","","663","2592","","","","4","","","",""
"","","Koralaipattu South","","","734","2680","","","","2","","","",""
"නැලෙනහිර පලාත","","Eravur Pattu","","","2511","8292","","","","1","","","",""
"fpof;F     Eastern","","මඩකලපුව","","","","","","","","","","","",""
"","","Eravur Town","","","711","2474","","","","","","","",""
"","8","kl;lf;fsg;G","Flood","2021.01.04","","","","","","","","","",""
"","","Manmunai North
Batticaloa","","","3837","13258","","","","","","","",""
"","","Kattankudy","Flood","","5498","18712","","","","","","","",""
"","","Manmunaipattu","","","1156","3480","","","","","","","",""
"","","Manmunaisouthwest","","","7","20","","","","","","","",""
"","","","Flood","","","","","","","","","","",""
"","","Manmunai south & EP","","","18","58","","","","","","","",""
"","","Porathivupattu","","","39","104","","","","1","2","","",""
