"","Weather Forecast for Main Cities","","","Date :","5-Jan-2025"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","31","21","95","60","Mainly fair"
"Batticaloa","30","25","90","70","Mainly fair"
"Colombo","32","24","80","50","Mainly fair"
"Galle","29","24","90","75","Showers or thundershowers are likely after 2.00p.m"
"Jaffna","29","24","95","70","Mainly fair"
"Kandy","28","20","95","70","Showers or thundershowers are likely after 2.00p.m"
"Nuwara-Eliya","19","12","95","80","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","32","23","95","60","Showers or thundershowers after 2.00p.m"
"Trincomalee","28","23","80","60","Mainly fair"
"Mannar","29","25","85","65","Mainly fair"
