"Weeraketiya","","2025.05.28","1","4","","","","","1","",""
"Agunakolapelessa","","2025.05.25","1","3","","","","","1","",""
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","16","57","0","0","0","0","16","0","0"
"දකුණු පලාත","","","","","","","","","","",""
"Baddegama
njd; khfhzk;","High Wind/ Rain","2025.05.31","48","166","","","","","47","1",""
"Southern","","","","","","","","","","",""
"Akmeemana","High Wind/ Rain","2025.05.30-31","22","81","","","","","21","","1"
"Elpitiya","High Wind/ Rain","2025.05.30-31","59","212","","","","","56","","1"
"Niyagama","High Wind/ Rain","2025.05.30-31","7","28","","","","","6","",""
"ගාල්ල","","","","","","","","","","",""
"fhyp          
3
Wanduramba","High Wind/ Rain","2025.05.30-31","14","47","","","","","14","",""
"Galle","","","","","","","","","","",""
"Rathgama","High Wind/ Rain","2025.05.30-31","12","50","","","","","12","",""
"Karandeniya","High Wind/ Rain","2025.05.30-31","24","70","","","","4","20","",""
"Bope - Poddala","High Wind/ Rain","2025.05.30-31","5","20","","","","","5","",""
"Imaduwa","High Wind/ Rain","2025.05.30-31","10","45","","","","1","9","",""
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","201","719","0","0","0","5","190","1","2"
