"","","","Galnewa","","2025.05.29","66","224","","2","","","65"
"","","","Galenbindunuwewa","","2025.05.29","2","7","","","","","2"
"","","","Palugaswewa","","2025.05.30","11","39","","","","","11"
"","","","Rajanganaya","","2025.05.30","1","4","","","","","1"
"","","අනුරාධ්‍පුර","","","","","","","","","",""
"","","","Medawachchiya","","2025.05.29","1","5","","","","","1"
"උතුරුමැද පලාත","14","m.Guk;","","High Wind","","","","","","","",""
"tlkj;jpa","","Anuradhapura","Kahatagasdigiliya","","2025.05.30","1","5","","","","","1"
"khfhzk;","","","","","","","","","","","",""
"","","","Thambuththegama","","2025.05.29","2","7","","","","","2"
"North Central","","","","","","","","","","","",""
"","","","Horowpothana","","2025.05.30","2","7","","","","","2"
"","","","Palagala","","2025.05.30","20","71","","","","","20"
"","","","Mihinthale","","2025.05.30","1","3","","","","","1"
"","","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","","107","372","0","2","0","0","106"
