"","දිනය /jpfjp / Date : 08th  January  2020 at 1800hrs","","","","","","","","","",""
"","","","","","","","","","නිවාස්ත්‍ හානි","",""
"","","","පරිපාලන ප්‍රලද්ශය நிர்வாகப்  பிரிவு","","","බලපෑමට ලක්වු","","","Nrjkile;j","ලවනත් හානි பிற பாதிப்புகள்","ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd"
"","","","Administrative purvie","","","ghjpf;fg;gl;l Affected","","අතුරුදහ","tPLfs; Houses","Other Damages","miktplk; Safe Location"
"","","","","","","","","තුවාලවු 
න්වූ","Damaged","",""
"","","","","","","","","පුද්ගලයි
පුද්ගලයි","","",""
"","","","","","ආරම්භක දිනය","","","","","",""
"","","","","","","","","න් 
න්","","",""
"පළාත","","","","ආපදාව","mdu;j;jk;","","මිය යෑම්","","","කුඩා හා මධය 
ඉතා වැදගත්",""
"","","","","","","","","fhaki
fhzh","","","ආරක්ිත 
ලවනත් කරුණු         NtW"
"khfhzk;","#","","","mdHj;jk;","Muk;gpj;j jpfjp","","kuzq;fs;","","","පරිමාණ වයාපාරික",""
"","","","","","","","","","අර්ධ","යටිතල පහසුකම්","ස්ත්‍
රථාන"
"","","","","","","","","le;NjhH
ky;Ngh","","","Fwpg;Gf;fs; Remarks
පවුේ"
"Province","","","","Disaster","Date of","","Deaths","","පූර්ණ","ස්ත්‍
රථාන சிறிய,",""
"","","","","","","","","NdhH","හානි","වලට වූ හානි","ස්ත්‍ංඛ්‍යාව"
"","","දිස්ත්‍රික්කය","ප්‍රා.ලේ. ලකා","","","පුද්ගලයින් 
පවුේ ස්ත්‍ංඛ්‍යාව","","","","நடுத்தர,","පුද්ගලයින් 
ස්ත්‍ංඛ්‍යාව"
"","","","","","commenced","","","","හානි 
gFjpa","mbg;gilf;","vz;zpf;i"
"","","மாவட்டம்","gpuNjr nra.gp","","","FLk;gq;fs; 
egHfs;","","Injured 
Missin","","நிறுவனங் களி","egHfs; 
FLk;gq;f"
"","","","","","","","","","sT 
KOik","fl;likg;Gf;fs; 
ன
்  சேதங் கள்","f   No."
"","","District","DS Division","","","Families
People","","People
g","","","s; 
Persons"
"","","","","","","","","","Partiall
Fully","Damages to 
Small, Medium,","of Safety"
"","","","","","","","","People","","","Families"
"","","","","","","","","","y","critical 
Enterprises","Location"
"","","","","","","","","","","Infrastructure
Damages","s"
"","","","Bandarawela","","","1
5","","","","","1
1
5 Yowun Senankaya"
"","","බදුල්ල","","","","","","","","",""
"","","","","","","","","","","","kanawarella sarwodaya"
"ඌෙ              Cth","1","gJs;is","Passara","Heavy Rain","2019.12.20","5
18","","","","","1
5
18"
"","","","","","","","","","","","building"
"khfhzk; Uva","","Badulla","","","","","","","","",""
"","","","Ella","","","8
28","","","","","1
8
28 Karandagolla Temple"
"","","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","","","14
51","0","0
0","0
0","0
0","3
14
51"
"","","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","","","14
51","0","0
0","0
0","0
0","3
14
51"
"","","මහනුෙර","Minipe","","2019.12.20","69
258","","","28","","1
10
47 Thorapitiya Temple"
"","2","fz;b","","High wind","","","","","","",""
"","","Kandy","","","","","","","","",""
"","","","Pasbage Koralaya","","2020.01.07","1
3","","","1","",""
"","","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","","","70
261","0","0
0","0
29","0
0","1
10
47"
"මධයම පලාත kj;jpa","","","","","","","","","","",""
"","","","","","","","","","","","01. Munwatte Temple     02."
"khfhzk; Central","","","","","","","","","","",""
"","","","Walapane","Land Slide Risk","2019.11.30","126
320","","","","","Naranthalawa Wewakele 
2
8
20"
"","","නුෙරඑලිය","","","","","","","","",""
"","","","","","","","","","","","temple"
"","3","Etnuypah","","","","","","","","",""
"","","Nuwara Eliya","","","","","","","","",""
"","","","","","2019.12.05","2
11","","","","","1
2
11 Lipakele Day Care Centre"
"","","","Nuwaraeliya","Land Slide","","","","","","",""
"","","","","","2019.12.19","1
5","","","","","1
1
5 Headrest Cultural Centre"
"","","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","","","129
336","0","0
0","0
0","0
0","4
11
36"
"","","පළාත් ඵකතුෙ khfhz $l;Lj;njhif Province Total","","","","199
597","0","0
0","0
29","0
0","5
21
83"
"","","පුත්තලම  Gj;jsk;","","","","","","","","",""
"ෙයඹ පලාත","4","","Dankotuwa","Fire","2020.01.07","1
4","","","1","",""
"","","Puttalam","","","","","","","","",""
"tlNky;","","","","","","","","","","",""
"khfhzk;  North","","","","","","","","","","",""
"","","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","","","1
4","0","0
0","0
1","0
0","0
0
0"
"Western","","","","","","","","","","",""
"","","පළාත් ඵකතුෙ khfhz $l;Lj;njhif Province Total","","","","1
4","0","0
0","0
1","0
0","0
0
0"
"","","කෑගල්ල","","","","","","","","",""
"","","","Beragala","Fire","2020.01.06","1
4","","","1","",""
"සබරගමුෙ පලාත","","Nffhiy   Kegalle","","","","","","","","",""
"rg;ufKt","","","","","","","","","","",""
