"","","","","Page 3","","","","","","","","","",""
"Nawagaththegama","Elephant Attack","2020.10.30","1","3","1","","","","","","","","",""
"","Landing of seawater","2020.11.05","30","95","","","","","","","","","",""
"Kalpitiya","","","","","","","","","","","","","",""
"පුත්තල","","","","","","","","","","","","","",""
"","Fire","2020.11.09","1","4","","","","1","","","","","",""
"11
Gj;jsk;","","","","","","","","","","","","","",""
"වයඹ පලාත","","","","","","","","","","","","","",""
"Mahawewa
Puttalam","","2020.11.06/09","2","5","","","","1","1","","","","",""
"tlNky; khfhzk;","Heavy Rain & High wind","","","","","","","","","","","","",""
"Nawagattegame
         North","","2020.11.08","5","15","","","","","","","","","",""
"Western","","","","","","","","","","","","","",""
"Puttalama","Heavy rain","2020.11.09","1","4","","","","","1","","","","",""
"දිසරික් එකතුව khtl;l $l;Lj;njhif District Total","","","40","126","1","0","0","2","2","0","0","0","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","40","126","1","0","0","2","2","0","0","0","0","0"
"Akurana","Lightning","","1","4","","","","","1","","","","",""
"","","2020.11.04","","","","","","","","","","","",""
"Delthota","High Wind","","2","8","","","","","2","","","","",""
"Pasbage Korale","Rock Fallen","2020.11.06","2","7","","","","","2","","","","",""
"නුවර","","","","","","","","","","","","","",""
"Pujapitiya","Heavy Rain & High Wind","2020.11..05","1","4","","","","","1","","","","",""
"12
 fz;b","","","","","","","","","","","","","",""
"Gangaihalakorale
 ධය  පලාත           
Kandy","Cutting Failure","2020.11..05","6","24","","","","","6","","","","",""
"kj;jpa khfhzk;","","","","","","","","","","","","","",""
"Gangawatakorale","High Wind","2020.11.07","1","2","","","","","1","","","","",""
"Central","","","","","","","","","","","","","",""
"Pathadumbara","Heavy Rain & High Wind","2020.11.07","1","2","","","","","1","","","","",""
"Tumpane","Heavy Rain","2020.11.08","1","4","","","","","1","","","","",""
"දිසරික් එකතුව khtl;l $l;Lj;njhif District Total","","","15","55","0","0","0","0","15","0","0","0","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","15","55","0","0","0","0","15","0","0","0","0","0"
"මකාළඹ","","","","","","","","","","","","","",""
"13
Kolonnawa
nfhOk;G","Tree Fallen","2020.11.08","5","21","","","","","5","","","","",""
"Western/ Nky; 
Colombo","","","","","","","","","","","","","",""
"khfhzk;බසරනාහිර","","","","","","","","","","","","","",""
