"","மாவட்டம்","gpuNjr nra.gp   DS","","","FLk;gq;fs;","","egHfs;","","Missin","","","நிறுவனங் களி","","vz;zpf;i","FLk;gq;f","egHfs;"
"","","","","","","","","","","KOik","sT","ன
்  சேதங் கள்","fl;likg;Gf;fs;","","",""
"","District","Division","","","Families","","People","","g","","","","","f   No.","s;","Persons"
"","","","","","","","","People","","Fully","Partiall","Small, Medium,","Damages to","","",""
"","","","","","","","","","People","","","","","of Safety","Families",""
"","","","","","","","","","","","y","Enterprises","critical","","",""
"","","","","","","","","","","","","","","Locations","",""
"","","","","","","","","","","","","Damages","Infrastructure","","",""
"","","","","2020.11.06","","1","4","","","","1","","","","",""
"","","Welimada","Heavy Rain","","","","","","","","","","","","",""
"","","","","2020.11.09","","1","4","","","","1","","","","",""
"","","","Wall Collapse","2020.10.30","","1","1","","","","1","","","","",""
"","","Badulla","Tree Felling","2020.11.02","","1","4","","","","1","","","","",""
"","","","Cutting Failure","2020.11.09","","1","5","","","","1","","","","",""
"","බදුල්ල","","","","","","","","","","","","","","",""
"","1
gJs;is","Haldummulla","","2020.11.04","","1","6","","","","1","","","","",""
"","","","Rock Fallen","","","","","","","","","","","","",""
"","Badulla","","","","","","","","","","","","","","",""
"","","Ella","","2020.10.31","","1","6","","","","1","","","","",""
"","","","High Wind","","","2","7","","","","2","","","","",""
"","","Rideemaliyadda","","2020.11.04","","","","","","","","","","","",""
"ඌව","","","Lightning","","","1","3","","","","1","","","","",""
"Cth khfhzk;","","","","","","","","","","","","","","","",""
"","","Uwaparanagame","Heavy Rain","202020.11.04","","1","3","","","","1","","","","",""
"Uva","","","","","","","","","","","","","","","",""
"","","Passara","Tree Fallen","2020.11.06","","1","4","","","","1","","","","",""
"","දිසරික් එකතුව khtl;l $l;Lj;njhif District Total","","","","","12","47","0
0","0","0","12","0","0","0","0","0"
"","","Thanamalvila","","2020.11.03","","13","52","","","","11","2","","","",""
"","ම ානරාගල","","High Wind & Heavy Rain","","","","","","","","","","","","",""
"","","Monaragala","","2020.11.02","","4","18","","","","4","","","","",""
"","2
nkhdwhfiy","","","","","","","","","","","","","","",""
"","","Medagama","","2020.11.03","","3","14","","","","3","","","","",""
"","Moneragala","","","","","","","","","","","","","","",""
"","","Bibila","Lightning","2020.11.02","","12","53","","","","12","","","","",""
"","දිසරික් එකතුව khtl;l $l;Lj;njhif District Total","","","","","32","137","0
0","0","0","30","2","0","0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","","","44","184","0
0","0","0","42","2","0","0","0","0"
"","","","","","","","","","","","","","","","","1. Upper Balangoda"
"","","","","","","","","","","","","","","","","Paththini Kovil                  2."
"","","Balangoda","Rock Fallen Risk","2020.10.12","","13","56","","","","","","","2","13","56"
"","","","","","","","","","","","","","","","","Upper Balangoda"
"","","","","","","","","","","","","","","","","Gnanarama Temple"
"","","","","2020.11.01","","2","11","","","","2","","","","",""
"","","Embilipitiya","High Wind & Heavy Rain","","","","","","","","","","","","",""
"","","","","2020.11.03","","2","10","","","","1","","","","",""
"","","Rathnapura","High Wind","2020.11.03","","2","8","","","","2","","","","",""
"","","","Lightning","2020.11.03","","1","4","","","","1","","","","",""
"","","Kalawana","","","","","","","","","","","","","",""
"","රත්නපුර","","High Wind & Tree Fellen","2020.11.09","","3","6","","","","3","","","","",""
"","3
,uj;jpdGhp","","Tree Fellen","2020.11.03","","1","4","","","","1","","","","",""
"","","Pemadulla","","","","","","","","","","","","","",""
"","Rathnapura","","Lightnig & Cutting Failure","2020.11.09","","13","51","","","","13","","","","",""
"","","Weligepola","Heavy Rain","2020.11.04","","1","3","","","","1","","","","",""
"","","","Land Slide Risk","","","1","5","","","","","","","","",""
"","","","","2020.11.05","","","","","","","","","","","",""
"","","","High Wind","","","2","7","","","","2","","","","",""
"","","Kahawaththa","","","","","","","","","","","","","",""
"","","","Lightning/Flood/High","","","","","","","","","","","","",""
"","","","","2020.11.09/10","","6","21","","","","5","1","","","",""
"","","","Wind/Cutting Failure","","","","","","","","","","","","",""
"","","","Rock Fallen","2020.11.04","","1","5","","","","1","","","","",""
"","","Kiriella","","","","","","","","","","","","","",""
"","","","High wind","2020.11.05","","1","4","","","","1","","","","",""
"","","Nivitigala","High wind & Heavy Rain","2020.11.09","","2","10","","","","2","","","","",""
"","දිසරික් එකතුව khtl;l $l;Lj;njhif District Total","","","","","51","205","0
0","0","0","35","1","0","2","13","56"
"","","","Lightning","2020.11.03","","3","10","","","","3","","","","",""
"සබරගමුව පලාත","","","","","","","","","","","","","","","",""
"","","Ruwanwella","","","","","","","","","","","","","",""
"rg;ufKt","","","Cutting Failure& Flash","","","","","","","","","","","","",""
"","","","","2020.11.05","","8","30","","","1","3","","","","",""
"Sabaragamuwa","","","Flood","","","","","","","","","","","","",""
"","","","Tree Felling & Lightning","202011.03","","2","10","","","","2","","","","",""
"","","Mawanella","","","","","","","","","","","","","",""
"","","","Tree Felling&Collapse Of a","","","","","","","","","","","","",""
"","","","","2020.11.03","","2","8","","","","2","","","","",""
"","","","Wall","","","","","","","","","","","","",""
"","","","Lightning","2020.11.06","","1","4","","","","1","","","","",""
