"","","","","","","","","","","tPLfs; Houses","","","","","",""
"","","Administrative purview","","","ghjpf;fg;gl;l    Affected","","","","","","","Other Damages","","","miktplk; Safe Location",""
"","","","","","","","","තුවාලවු","අතුරුදහ","Damaged","","","","","",""
"","","","","ආරම්භක දිනය","","","","පුද්ගලයින්","න්වූ","","","","","","",""
"","","","","","","","මිය යෑම්","","පුද්ගලයින්","","","කුඩා හා මධය","","","",""
"","","","ආපදාව","mdu;j;jk;","","","","","","","","","ඉතා වැදගත් යටිතල","","",""
"පළාත khfhzk;","","","","","","","kuzq;f","fhakil","fhzhky;","","","පරිමාණ වයාපාරික","","ආරක්ිත","",""
"","#","","mdHj;jk","Muk;gpj;j jpfjp","","","","","","","","ස්ත්‍
රථාන சிறிய,","පහසුකම් වලට වූ","ස්ත්‍
රථාන","පවුේ",""
"","","","","","","","s;","e;NjhH","NghNdhH","","","","","","",""
"Province","","ප්‍රා.ලේ. ලකා","","","","","","","","","","","","","",""
"","","","Disaster","Date of","පවුේ ස්ත්‍ංඛ්‍යාව","පුද්ගලයින්","Deaths","","","","අර්ධ හානි","நடுத்தர,","හානි mbg;gilf;","ස්ත්‍ංඛ්‍යාව","ස්ත්‍ංඛ්‍යාව","පුද්ගලයින්"
"","දිස්ත්‍රික්කය","","","","","","","","","පූර්ණ හානි","","நிறுவனங்களின்","","","",""
"","","gpuNjr nra.gp     DS","","","FLk;gq;fs;","egHfs;","","Injured","Missing","","gFjpasT","","fl;likg;Gf;fs;","vz;zpf;i","FLk;gq;f","egHfs;"
"","","","","commenced","","","","","","KOik Fully","","","","","",""
"","மாவட்டம் District","","","","Families","People","","","","","Partially","சேதங்கள்; Small,","Damages to","f   No.","s;","Persons"
"","","Division","","","","","","People","People","","","","","","",""
"","","","","","","","","","","","","Medium,","critical","of Safety","Families",""
"","","","","","","","","","","","","Enterprises","Infrastructure","Locations","",""
"","","","","","","","","","","","","Damages","","","",""
"","","Arachchikattuwa","","","6","16","","","","","6","","","","",""
"","","Nattandiya","","","15","51","","","","","14","1","","","",""
"","","chilow","","","24","109","","","","","24","","","","",""
"","","Dankotuwa","","","17","60","","","","","16","1","","","",""
"","","Mundalama","","","48","166","","","","","48","","","","",""
"","","Mahawewa","","","5","18","","","","","5","","","","",""
"","පුත්තලම","","","","","","","","","","","","","","",""
"","","Wennappuwa","","","14","49","","","","","13","3","1","","",""
"","Gj;jsk;     
1","","High Wind/Tree Fallen","2025.05.30","","","","","","","","","","","",""
"වයඹ පලාත","","Madampe","","","8","27","","","","","7","1","","","",""
"","Puttalam","","","","","","","","","","","","","","",""
"tlNky; khfhzk;","","","","","","","","","","","","","","","",""
"","","Mahakumbukkadawala","","","86","270","","","","","86","","1","","",""
"North Western","","","","","","","","","","","","","","","",""
"","","Pallama","","","25","98","","","","","25","2","","","",""
"","","Nawagattegama","","","4","16","","","","","4","","","","",""
"","","Puttalama","","","1","4","","","","","1","","","","",""
"","","Anamaduwa","","","70","230","","","","","70","1","4","","",""
"","","Wanatavilluwa","","","2","7","","","","","2","","","","",""
"","","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","325","1121","0","0","0","0","321","9","6","0","0","0"
"","","පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","325","1121","0","0","0","0","321","9","6","0","0","0"
"","","Walassmulla","","2025.05.29-31","18","72","","","","","18","","","","",""
"","","Agunakolapelessa","","2025.05.30-06.01","2","9","","","","","2","","","","",""
"","","Hambanthota","","2025.05.31","2","9","","","","","2","","","","",""
"","හම්බන්තාට","Thangalla","","2025.05.31","7","24","","","","","7","","","","",""
"","2
`k;ghe;Njhl;il","","High Wind/ Heavy Rain","","","","","","","","","","","","",""
"","","Katuwana","","2025.05.30","11","44","","","","","11","","","","",""
"","Hambantota","","","","","","","","","","","","","","",""
"","","Beliaththa","","2025.05.29-06.01","31","118","","","","","31","","","","",""
"","","Okewela","","2025.06.01","8","22","","","","","8","","","","",""
"","","Weeraketiya","","2025.05.31","2","4","","","","","2","","","","",""
"","","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","81","302","0","0","0","0","81","0","0","0","0","0"
"","","Balapitiya","High Wind/ Rain","2025.05.31-06.01","3","10","","","","","3","","1","","",""
"","","Waduraba","High Wind/ Rain","2025.05.31-06.01","5","18","","","","","5","","","","",""
"දකුණු පලාත","","Ambalangoda","High Wind/ Rain","2025.05.31-06.01","24","101","","","","","24","","","","",""
"njd; khfhzk;","","","","","","","","","","","","","","","",""
"","","Imaduwa","High Wind/ Rain","2025.05.31-06.01","8","32","","","","","8","","","","",""
"Southern","","","","","","","","","","","","","","","",""
"","","Waliwitiya Diwithura","High Wind/ Rain","2025.05.31-06.01","15","31","","","","","15","","","","",""
"","","Akmeemana","High Wind/ Rain","2025.05.31-06.01","2","9","","","","","2","","","","",""
"","ගාල්ල","","","","","","","","","","","","","","",""
"","fhyp          
3","Habaraduwa","High Wind/ Rain","2025.05.31-06.02","6","20","","","","","6","","","","",""
