"නගරය","","","","","කාලගුණය"
"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධපුරය","33","26","85","55","ප්‍රධාන වශලයන් වැසි රහිත"
"මඩකලපුව","36","28","75","45","ප්‍රධාන වශලයන් වැසි රහිත"
"ලකාළඹ","31","26","95","75","විටින් විට වැසි"
"ගාේල","29","26","95","80","විටින් විට වැසි"
"යාපනය","32","28","75","65","ප්‍රධාන වශලයන් වැසි රහිත"
"මහනුවර","28","22","95","65","විටින් විට වැසි"
"නුවරඑළිය","17","14","95","80","විටින් විට වැසි"
"රත්නපුරය","31","23","95","65","විටින් විට වැසි"
"ිකුණාමලය","35","27","90","50","ප්‍රධාන වශලයන් වැසි රහිත"
