"","Weather Forecast for Main Cities","","","","11-Oct-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","31","24","95","60","Showers or thundershowers after 2.00p.m"
"Batticaloa","31","24","95","65","Showers or thundershowers after 2.00p.m"
"Colombo","29","24","95","75","Showers or thundershowers at times"
"Galle","28","25","95","85","Showers or thundershowers at times"
"Jaffna","32","24","95","80","Showers or thundershowers after 2.00p.m"
"Kandy","28","21","95","75","Showers or thundershowers"
"Nuwara-Eliya","18","14","95","75","Showers or thundershowers"
"Ratnapura","29","23","95","75","Showers or thundershowers at times"
"Trincomalee","32","24","95","65","Showers or thundershowers after 2.00p.m"
"Mannar","32","25","95","75","Showers or thundershowers after 2.00p.m"
