"","Weather Forecast for Main Cities","","","","27-Mar-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","35","25","90","45","Showers or thundershowers after 2.00p.m"
"Batticaloa","31","25","90","75","Several spells of showers"
"Colombo","32","26","85","55","Showers or thundershowers are likely after 2.00p.m"
"Galle","31","25","90","70","Showers or thundershowers after 2.00p.m"
"Jaffna","31","24","95","55","Showers or thundershowers after 2.00p.m"
"Kandy","32","22","95","45","Showers or thundershowers after 2.00p.m"
"Nuwara-Eliya","19","11","80","55","Showers or thundershowers after 2.00p.m"
"Ratnapura","36","24","95","50","Showers or thundershowers after 2.00p.m"
"Trincomalee","34","24","90","60","Several spells of showers"
"Mannar","31","27","80","55","Showers or thundershowers are likely after 2.00p.m"
