"","","மாவட்டம் District","","","","","","","","KOik","","","","","",""
"","","","","","Families","People","","","","","Partially","சேதங்கள்; Small,","Damages to","f   No.","s;","Persons"
"","","","Division","","","","","","","Fully","","","","","",""
"","","","","","","","","","","","","Medium,","critical","of Safety","Families",""
"","","","","","","","","","","","","Enterprises","Infrastructure","Locations","",""
"","","","","","","","","","","","","Damages","","","",""
"","","රත්නපුර","","","","","","","","","","","","","",""
"","","","","High Wind / Heavy","","","","","","","","","","","",""
"සබරගමුෙ පලාත","1",",uj;jpdGhp","Ratnapura","2023.05.17","26","107","","","","","26","","","","",""
"","","","Rain","","","","","","","","","","","","",""
"rg;ufKt","","Rathnapura","","","","","","","","","","","","","",""
"Sabaragamuwa","","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","","26","107","0","0","0","0","26","0","0","0","0","0"
"","","පළාත් ඵකතුෙ khfhz $l;Lj;njhif  Province Total","","","26","107","0","0","0","0","26","0","0","0","0","0"
"","","","Malimbada
Flood","","60","204","","","","","","","","","",""
"","","","Pasgoda
Flood","","","","","","1","","","","","","",""
"","","","Kamburupitiya
Flood","","347","1326","","","","","","","","","",""
"","","මාතර khj;jiw","Mulatiyana
Flood","","434","1625","","","","","13","","","","",""
"","2","","","2023.05.14","","","","","","","","","","","",""
"දකුනු පලාත njd;","","Matara","","","","","","","","","","","","","",""
"","","","Athuraliya
Flood","","974","3747","","","","2","6","","","","",""
"khfhzk Southern","","","","","","","","","","","","","","","",""
"","","","Matara
Flood","","259","1103","","","","","","","","","",""
"","","","Akuressa
Flood","","440","1682","","","","","3","","","","",""
"","","","Thihagoda
Flood","","141","649","","","","","4","","","","",""
"","","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","","2655","10336","0","0","1","2","26","0","0","0","0","0"
"","","පළාත් ඵකතුෙ khfhz $l;Lj;njhif  Province Total","","","2655","10336","0","0","1","2","26","0","0","0","0","0"
"","මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","","","2681","10443","0","0","1","2","52","0","0","0","0","0"
"","","","","","","","ආපදා කළමනාකරණ මධ්‍යස්ථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","","","","","","",""
