"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධ්‍පුරය","35","26","90","60","ප්‍රධ්‍ාන වශහයන් වැසි රහිත"
"මඩකලපුව","34","27","85","65",""
"","","","","","ැක"
"හකාළඹ","28","24","95","80","විටින් විට වැසි"
"ගාල්ල","28","26","95","80","විටින් විට වැසි"
"යාපනය","33","26","90","70","වැසි ස්වල්පයක්"
"ම නුවර","26","21","95","80","විටින් විට වැසි"
"නුවරඑළිය","17","14","95","80","විටින් විට වැසි"
"රත්නපුරය","30","23","95","75","විටින් විට වැසි"
"ිකුණාමලය","36","26","85","50","ප්‍රධ්‍ාන වශහයන් වැසි රහිත"
