"","Weather Forecast for Main Cities","","","","2024-07-14"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","35","26","90","60","Mainly fair"
"Batticaloa","34","27","85","65","Showers or thundershowers are likely after 2.00p.m"
"Colombo","28","24","95","80","Showers at times"
"Galle","28","26","95","80","Showers at times"
"Jaffna","33","26","90","70","A few showers"
"Kandy","26","21","95","80","Showers at times"
"Nuwara-Eliya","17","14","95","80","Showers at times"
"Ratnapura","30","23","95","75","Showers at times"
"Trincomalee","36","26","85","50","Mainly fair"
"Mannar","31","27","85","70","Mainly fair"
