"","","","nra.gp    DS Division","","","","","","","","KOik","sT","Kaw;rpfs;","","fl;likg;Gf;fs;","if","","",""
"","","District","","","","s;","People","","People","g","","","","","","","","fs;","Persons"
"","","","","","","","","","","","","Partiall","Small, Medium,","","Damages to","Safety","","",""
"","","","","","","","","","","","Fully","","","","","","","",""
"","","","","","","Families","","","","People","","","","","","","","Families",""
"","","","","","","","","","","","","y","Enterprises","","critical","Location","","",""
"","","","","","","","","","","","","","Damages","","Infastructure","","","",""
"","","","","","","","","","","","","","","","","s","","",""
"","","","","Lightning","","11","23","","","","","2","","","","","","",""
"","","","","","2018.11.17","","","","","","","","","","","","","",""
"","","","","","","1","4","","","","","2","","","","","","",""
"","","","","Cutting Failure","","","","","","","","","","","","","","",""
"","","","Walapane","","","4","19","","","","","3","","","","","","",""
"","","","","Rock Fallen","2018.11.21","1","5","","","","","1","","","","","","",""
"","","නුවරඑලිය","","","","","","","","","","","","","","","","",""
"","1","Etnuypah","","Heavy Rain","","1","5","","","","","1","","","","","","",""
"","","Nuwara Eliya","","Lightning","2018.11.17","6","23","","","","","6","","","","","","",""
"","","","Kotmale","","","","","","","","","","","","","","","",""
"","","","","Cutting Failure","2018.11.20","1","2","","","","","1","","","","","","",""
"","","","Hanguranketha","Cutting Failure","2018.11.19","2","9","","","","","","","","","","","",""
"","","","Nuwara Eliya","Fire","2018.11.21","1","5","","","","1","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","","28","95","0","0","0","1","16","","0","0","","0","0","0"
"මධ්‍යම පලාත","","","","","","","","","","","","","","","","","","",""
"kj;jpa","","","Delthota","","2018.11.17/18","8","42","","","","","7","","","","","","",""
"khfhzk","","","","","","","","","","","","","","","","","","",""
"Central","","","Kandy","","2018.11.18","1","5","","","","","1","","","","","","",""
"","","නුවර","","","","","","","","","","","","","","","","",""
"","2","fz;b","Thumpane","Cutting Failure","218.1117/18","10","36","","","","","10","","","","","","",""
"","","Kandy","Gangawata Korale","","2018.11.18","3","11","","","","","3","","","","","","",""
"","","","Ududumbara","","2018.11.20","2","3","","","","1","1","","","","","","",""
"","","","Haripatthuwa","","2018.11.19","9","33","","","","","8","","","","","","",""
"","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","","33","130","0","0","0","1","30","","0","0","","0","0","0"
"","","මාතලේ","","","","","","","","","","","","","","","","",""
"","3","khj;jis","Rattota","Rock Fallen","2018.11.09","15","70","","","","","","","","","","1","15","70 Welangahawatta"
"","","","","","","","","","","","","","","","","","","","Temple"
"","","Matale","","","","","","","","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","","15","70","0","0","0","0","0","","0","0","","1","15","70"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","","76","295","0","0","0","2","46","","0","0","","1","15","70"
"","","පුත්තලම","","","","","","","","","","","","","","","","",""
"වයඹ පලාත","","","","","","","","","","","","","","","","","","",""
"","4","Gj;jsk;","Wanathavilluwa","Heavy Rain","2018.11.21","2","6","","","","","2","","","","","","",""
"tlNky;","","","","","","","","","","","","","","","","","","",""
"khfhzk;","","Puttalam","","","","","","","","","","","","","","","","",""
"North","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","","2","6","0","0","0","0","2","","0","0","","0","0","0"
"Western","","","","","","","","","","","","","","","","","","",""
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","","2","6","0","0","0","0","2","","0","0","","0","0","0"
"","","","Karainagar","","2018.11.18","59","198","","","","","2","","","","","","",""
"","","","Jaffna","","2018.11.20","122","507","","","","","1","","","","","","",""
"","","යාපනය","Nallur","","2018.11.21","22","63","","","","","21","","","","","","",""
"","5","aho;g;ghzk;","Kopay","","2018.11.21","5","21","","","","","5","","","","","","",""
"","","Jaffna","Chankanai","","2018.11.21","616","2338","","","","","","","","","","","",""
"උතුරු පලාත","","","","","","","","","","","","","","","","","","",""
"","","","Uduvil","","2108.11.20","9","35","","","","","9","","","","","","",""
"tl","","","","","","","","","","","","","","","","","","",""
"","","","Chavakachceri","","2018.11.20","92","336","","","","2","67","","","","","1","23","92"
"khfhzk;","","","","","","","","","","","","","","","","","","",""
"Northen","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","","925","3498","0","0","0","2","105","","0","0","","1","23","92"
