"","Weather Forecast for Main Cities","","","Date :","24-Aug-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","35","24","85","45","Mainly fair"
"Batticaloa","33","26","85","75","Showers or thundershowers are likely after 2.00p.m"
"Colombo","32","27","85","70","A few showers"
"Galle","30","26","90","85","A few showers"
"Jaffna","33","26","80","65","A few showers"
"Kandy","32","22","90","60","A few showers"
"Nuwara-Eliya","23","13","95","65","A few showers"
"Ratnapura","35","24","95","60","A few showers"
"Trincomalee","35","24","90","50","A few showers"
"Mannar","32","27","85","60","Mainly fair"
