"","Weather Forecast for Main Cities","","","Date :","5-Feb-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","32","21","95","65","Mainly fair"
"Batticaloa","29","24","85","75","A few showers"
"Colombo","32","23","80","40","Mainly fair"
"Galle","31","25","90","70","Showers or thundershowers are likely after 4.00p.m"
"Jaffna","31","20","85","65","Mainly fair"
"Kandy","30","18","90","55","Mainly fair"
"Nuwara-Eliya","21","8","70","40","Mainly fair"
"Ratnapura","35","22","95","50","Showers or thundershowers are likely after 4.00p.m"
"Trincomalee","30","22","90","70","A few showers"
"Mannar","31","25","90","65","Mainly fair"
