"","Weather Forecast for Main Cities","","","Date:","22-May-2025"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","33","26","90","70","A few showers"
"Batticaloa","33","26","85","70","Showers or thundershowers are likely after 2.00p.m"
"Colombo","32","26","90","75","Several spells of showers"
"Galle","31","25","95","80","Several spells of showers"
"Jaffna","33","28","85","65","Mainly fair"
"Kandy","29","23","95","70","Several spells of showers"
"Nuwara-Eliya","20","14","95","80","Several spells of showers"
"Ratnapura","31","25","95","75","Showers or thundershowers at times"
"Trincomalee","34","26","90","65","Mainly fair"
"Mannar","33","28","85","70","A few showers"
