"","","","","","","","","","","","","","","","","","3"
"","","","","Lightning","2018.10.31","2","8","1","1","","","1","","","","",""
"","","","Arachchikattuwa","","","","","","","","","","","","","",""
"","","","","","","50","210","","","","","1","2","","1","50","210"
"","","","Pallama","","","32","118","","","","","6","5","","","",""
"","","","","Heavy Rain &","","","","","","","","","","","","",""
"","","","Karuwalagaswewa","","2018.11.01 / 06","65","243","","","","","","","","","",""
"","","","","Flood","","","","","","","","","","","","",""
"","","","Nawagaththegama","","","35","128","","","","","","","","","",""
"","","","","","","61","236","","","","","1","","","","",""
"","","","Mahawewa","","","","","","","","","","","","","",""
"","","පුත්තලම","","Fire","2018.11.12","1","5","","","","","1","","","","",""
"වයඹ පලාත","","","","","","","","","","","","","","","","",""
"","4","Gj;jsk;","Madampe","","","16","53","","","","","","","","","",""
"tlNky;","","","","","","","","","","","","","","","","",""
"","","Puttalam","","","","","","","","","","","","","","",""
"khfhzk;","","","Mundalama","","","23","81","","","","","","","","","",""
"North","","","Naththandiya","Heavy Rain &","2018.11.01 / 06","30","88","","","","","","","","","",""
"Western","","","Wennappuwa","Flood","","155","560","","","","","","","","","",""
"","","","Chilaw","","","60","250","","","","","","","","","",""
"","","","Anamaduwa","","2018.11.09","2","9","","","","","2","","","","",""
"","","","Kalpitiya","Flood","2018.11.10","63","251","","","","","","","","","",""
"","","","Mahakubukkadawala","Lightning","2018.11.08","1","5","","","","","1","","","","",""
"","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","","596","2245","1","1","0","0","13","7","0","1","50","210"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","","596","2245","1","1","0","0","13","7","0","1","50","210"
"","","හම්බන්ලතොට","","","","","","","","","","","","","","",""
"දකුනු පලාත","5","`k;ghe;Njhl;il","Agunakolapalassa","Lightning","2018.11.09","2","9","","","","","2","","","","",""
"njd;","","Hambantota","","","","","","","","","","","","","","",""
"khfhzk;","","","","","","","","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","","2","9","0","0","0","0","2","0","0","0","0","0"
"Southern","","","","","","","","","","","","","","","","",""
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","","4","18","0","0","0","0","4","0","0","0","0","0"
"","","","Seruvila","","","66","239","","","","1","1","","","","",""
"","","","Muthur","","","33","101","","","","","4","","","","",""
"","","ත්‍රීකුණාමලය","Kinniya","","","201","676","","","","","40","","","","",""
"නැලෙනහිර","6","jp.kiy","","Flash Flood","2018.11.06/08","","","","","","","","","","","",""
"","","","Verugal","","","4","8","","","","","","","","","",""
"පලාත","","Trincomalee","","","","","","","","","","","","","","",""
"","","","Town and Gravets","","","75","302","1","1","","1","2","","","","",""
"fpof;F","","","","","","","","","","","","","","","","",""
"Eastern","","","Kuchchaveli","","","15","61","","","","","","","","","",""
"","","","Thamabalgamam","","","18","58","","","","","","","","1","7","25 Palampataru RDS Building"
"","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","","412","1445","1","1","0","2","47","0","0","1","7","25"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","","416","1463","1","1","0","2","51","0","0","1","7","25"
"උතුරුමැද","","අනුරාධපුර","","","","","","","","","","","","","","",""
"","","","Nuwara Gampalatha East","","","29","98","","","","","","","","","",""
"පලාත","7","m.Guk;","","Flood","2018.11.07","","","","","","","","","","","",""
"tlkj;jpa","","Anuradhapura","Nuwara Gampalatha Central","","","3","11","","","","","","","","","",""
"khfhzk;","","","","","","","","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","","32","109","0","0","0","0","0","0","0","0","0","0"
"North","","","","","","","","","","","","","","","","",""
"Central","","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","","32","109","0","0","0","0","0","0","0","0","0","0"
"","","","Delft","","","35","121","","","","","35","","","","",""
"","","","Velanai","","","91","355","","","","26","43","22","","","",""
"","","","Kayts","","","29","105","","","","","29","","","","",""
"","","","Karainagar","","","3","10","","","","1","2","","","","",""
"","","","Jaffna","","","90","357","","1","","","52","","","","",""
"","","","Nallur","","","12","46","","","","","11","","","","",""
"","","","Kopay","","","95","329","","","","","21","2","","","",""
"","","යාපනය/aho;g;ghz","","","","","","","","","","","","","","",""
"","8","","Chankanai","Cyclone (GAJA)","2018.11.16","117","525","","","","","117","","","","",""
"","","k;/ Jaffna","","","","","","","","","","","","","","",""
"","","","Sandilipay","","","57","232","","","","","53","4","","","",""
"","","","Uduvil","","","87","322","","","","48","37","","","","",""
"","","","Tellippallai","","","179","634","","","","","22","","","","",""
"","","","Chavakachceri","","","118","401","","","","","87","31","","2","14","45"
"උතුරු","","","","","","","","","","","","","","","","",""
"පලාත/tl","","","Karaveddy","","","38","125","","","","","38","","","","",""
"khfhzk;/","","","Pointpedro","","","102","341","","","","2","32","","","","",""
"Northen/ ;","","","Maruthankrny","","","11","34","","","","","11","","","","",""
"","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","","1064","3937","0","1","0","77","590","59","0","2","14","45"
