"Wanathavilluwa","2023.08.01","60","215","","","","","","","","","",""
"පුත්තලම","Drinking water scarcity","","","","","","","","","","","",""
"6
Nawagaththegama
Gj;jsk;","due to prevailing dry 
2023.08.08","726","2106","","","","","","","","","",""
"Puttalam","weather condition","","","","","","","","","","","",""
"Anamaduwa","2023.08.21","167","603","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","953","2924","0","0","0","0","0","0","0","0","0","0"
"Bamunakotuwa","2023.08.03","10","28","","","","","","","","","",""
"","","","","","","","","","","","","","Providing Drinking"
"Alawwa","2023.08.11","635","2280","","","","","","","","","",""
"","","","","","","","","","","","","","Water"
"Galgamuwa","","","","","","","","","","","","",""
"","2023.08.02","85","340","","","","","","","","","",""
"Giribawa","2023.08.01","2862","9372","","","","","","","","","",""
"Paduwasnuwara East","2023.08.01","105","443","","","","","","","","","",""
"වයඹ පලාත","","","","","","","","","","","","",""
"Polgahawela","2023.08.01","458","1330","","","","","","","","","",""
"tlNky; khfhzk;","","","","","","","","","","","","",""
"කුරුනෑගල","Drinking water scarcity","","","","","","","","","","","",""
"North Western","","","","","","","","","","","","",""
"Polpitigama
7
FUdhfy;","2023.08.09
due to prevailing dry","833","2575","","","","","","","","","",""
"Kurunegala","weather condition","","","","","","","","","","","",""
"Kuliyapitiya East","2023.07.15","521","1736","","","","","","","","","",""
"Kuliyapitiya West","2023.08.11","126","467","","","","","","","","","",""
"Narammala","2023.08.15","200","715","","","","","","","","","",""
"Rideegama","2023.08.08","80","330","","","","","","","","","",""
"Udubaddawa","2023.08.10","134","488","","","","","","","","","",""
"Weerambugedara","2023.08.15","141","506","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","6190","20610","0","0","0","0","0","0","0","0","0","0"
"පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","7143","23534","0","0","0","0","0","0","0","0","0","0"
"Delft","","1038","3146","","","","","","","","","",""
"Kayts
යාපනය","Drinking water scarcity","613","2050","","","","","","","","","",""
"","","","","","","","","","","","","","Providing Drinking"
"8
Chavakachcheri
aho;g;ghzk;","due to prevailing dry 
2023.08.11","3470","12885","","","","","","","","","",""
"","","","","","","","","","","","","","Water"
"Jaffna","weather condition","","","","","","","","","","","",""
"Maruthankerny","","956","3067","","","","","","","","","",""
"Chankanai","","15967","49260","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","22044","70408","0","0","0","0","0","0","0","0","0","0"
"","Drinking water scarcity","","","","","","","","","","","",""
"වව්නියාව tTdpah","","","","","","","","","","","","",""
"Vauniya North
9","due to prevailing dry 
2023.08.04","450","1120","","","","","","","","","",""
"Vavuniya","","","","","","","","","","","","",""
"","weather condition","","","","","","","","","","","",""
"උතුරු පලාත","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","450","1120","0","0","0","0","0","0","0","0","0","0"
"tl khfhzk;","","","","","","","","","","","","",""
"Northen","","","","","","","","","","","","",""
"මන්නාරම","Drinking water scarcity","","","","","","","","","","","",""
"Madu
kd;dhH    
10","due to prevailing dry 
2023.08.03","952","3244","","","","","","","","","",""
"Mannar","weather condition","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","952","3244","0","0","0","0","0","0","0","0","0","0"
"Manthai East
මුලතිව්න","2023.08.17
Drinking water scarcity","40","150","","","","","","","","","",""
"Ky;iyj;jPT 
11
Puthukudiyiruppu","due to prevailing dry 
2023.08.08","167","563","","","","","","","","","",""
"Mulaitivu","weather condition","","","","","","","","","","","",""
"Tunukkai","2023.08.11","35","122","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","242","835","0","0","0","0","0","0","0","0","0","0"
"පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","23688","75607","0","0","0","0","0","0","0","0","0","0"
"Mahiyanganaya","2023.08.04","165","668","","","","","","","","","",""
"බදුල්ල","Drinking water scarcity","","","","","","","","","","","",""
"Badulla","2023.08.07","316","1368","","","","","","","","","",""
"gJs;is   
12","due to prevailing dry","","","","","","","","","","","",""
"Haldemulle","2023.08.21","383","1245","","","","","","","","","",""
"Badulla","weather condition","","","","","","","","","","","",""
"Meegahakivula","2023.08.21","520","2130","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","1384","5411","0","0","0","0","0","0","0","0","0","0"
"ඌව","","","","","","","","","","","","",""
"Buttala
Cth khfhzk;","2023.08.07","145","486","","","","","","","","","",""
"ගමානරාගල 
Uva","Drinking water scarcity","","","","","","","","","","","",""
"Medagama","2023.08.15","3754","11311","","","","","","","","","",""
"13
nkhdwhfiy","due to prevailing dry","","","","","","","","","","","",""
"Thanamalvila","2023.08.07
weather condition","830","2359","","","","","","","","","",""
"Moneragala","","","","","","","","","","","","",""
"Wellawaya","2023.08.01","140","485","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","4869","14641","0","0","0","0","0","0","0","0","0","0"
"පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","6253","20052","0","0","0","0","0","0","0","0","0","0"
