"","උ රිම","අවම","උ රිම","අවම",""
"අනුරාධපුරය","31","25","90","70","වැසි වාර කිහිපයක්"
"මඩකලපුව","30","25","85","80","විටින් විට වැසි"
"වකාළඹ","33","25","90","60","සවස 2.00න් පසුව වැසි වහෝ ගිගුරුම් සහිත වැසි ඇති  විය හැක"
"ගාල්ල","32","25","90","80","සවස 2.00න් පසුව වැසි වහෝ ගිගුරුම් සහිත වැසි ඇති  විය හැක"
"යාපනය","30","24","90","80","වැසි වාර කිහිපයක්"
"මහනුවර","30","22","90","70","සවස 2.00න් පසුව වැසි වහෝ ගිගුරුම් සහිත වැසි ඇති  විය හැක"
"නුවරඑළිය","20","13","90","70","සවස 2.00න් පසුව වැසි වහෝ ගිගුරුම් සහිත වැසි ඇති  විය හැක"
"රත්නපුරය","33","22","90","80","සවස 2.00න් පසුව වැසි වහෝ ගිගුරුම් සහිත වැසි ඇති  විය හැක"
"ත්‍රිකුණාමලය","32","25","90","80","විටින් විට වැසි"
