"","","උෂ්ණත්තවය(හස. අංශක)","","සොහේක්ෂ ආර්රතොවය(%)",""
"න රය","","","","","කොලගුණය"
"","උපරිම","අවම","උපරිම","අවම",""
"අනුරොධපුරය","36","26","95","45","සවස 2.00ේ  සුව වැසි න ෝ ගිගුරුම් සහිත වැසි ඇති  විය  ැක"
"මඩකලපුව","31","27","95","70","සවස 2.00ේ  සුව වැසි න ෝ ගිගුරුම් සහිත වැසි ඇති නේ"
"නකො ඹ","32","25","95","65","සවස 2.00ේ  සුව වැසි න ෝ ගිගුරුම් සහිත වැසි ඇති  විය  ැක"
"ගොල්ල","31","26","95","70","සවස 2.00ේ  සුව වැසි න ෝ ගිගුරුම් සහිත වැසි ඇති නේ"
"යො නය","34","23","85","60","සවස 2.00ේ  සුව වැසි න ෝ ගිගුරුම් සහිත වැසි ඇති  විය  ැක"
"ම නුවර","29","21","95","65","සවස 2.00ේ  සුව වැසි න ෝ ගිගුරුම් සහිත වැසි ඇති නේ"
"නුවරඑළිය","21","10","95","60","සවස 2.00ේ  සුව වැසි න ෝ ගිගුරුම් සහිත වැසි ඇති නේ"
"රත්නපුරය","34","22","95","60","සවස 2.00ේ  සුව වැසි න ෝ ගිගුරුම් සහිත වැසි ඇති නේ"
"ත්‍රිකුණොමලය","32","26","95","60","සවස 2.00ේ  සුව වැසි න ෝ ගිගුරුම් සහිත වැසි ඇති  විය  ැක"
