"","Weather Forecast for Main Cities","","","Date :","1-Apr-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","36","26","95","45","Showers or thundershowers are likely after 2.00p.m"
"Batticaloa","31","27","95","70","Showers or thundershowers after 2.00p.m"
"Colombo","32","25","95","65","Showers or thundershowers are likely after 2.00p.m"
"Galle","31","26","95","70","Showers or thundershowers after 2.00p.m"
"Jaffna","34","23","85","60","Showers or thundershowers are likely after 2.00p.m"
"Kandy","29","21","95","65","Showers or thundershowers after 2.00p.m"
"Nuwara-Eliya","21","10","95","60","Showers or thundershowers after 2.00p.m"
"Ratnapura","34","22","95","60","Showers or thundershowers after 2.00p.m"
"Trincomalee","32","26","95","60","Showers or thundershowers are likely after 2.00p.m"
"Mannar","32","26","90","60","Showers or thundershowers are likely after 2.00p.m"
