"","","","","","","","","","","","KOik","","sT 
ன","்  சேதங் கள்","fl;likg;Gf;fs;","","f   No.","",""
"","","District","DS Division","","","Families","People","","","g","","","","","","","","s;","Persons"
"","","","","","","","","","People","","Fully","","Partiall","","Damages to","","of Safety","",""
"","","","","","","","","","","","","","","Small, Medium,","","","","",""
"","","","","","","","","","","People","","","","","","","","Families",""
"","","","","","","","","","","","","","y","","critical","","Location","",""
"","","","","","","","","","","","","","","Enterprises","","","","",""
"","","","","","","","","","","","","","","Damages","Infrastructure","","s","",""
"","","","Wennappuwa","","2019.10.15","75","273","","","","","","5","1","","","","",""
"","","","","Flash Flood","","","","","","","","","","","","","","",""
"","","","","","2019.11.18","250","1150","","","","","","","","","","","",""
"","","","Chillaw","","","","","","","","","","","","","","","",""
"","","","","ගිනි ගැනීම්/jP/Fire","2019.11.17","1","4","","","","","","","","","","","",""
"","","පුත්තලම","Mahawewa","","","56","264","","","","","","","","","","","",""
"වයඹ පලාත","1","Gj;jsk;","Mahakubukkadawala","Flash Flood","2019.11.18","1","4","","","","","","1","","","","","",""
"tlNky;","","Puttalam","","","","","","","","","","","","","","","","",""
"","","","Pallama","","","2","7","","","","","","2","","","","","",""
"khfhzk;  North","","","","","","","","","","","","","","","","","","",""
"","","","Dankotuwa","ගිනි ගැනීම්/jP/Fire","2019.11.19","1","4","","","","","","","1","","","","",""
"Western","","","","","","","","","","","","","","","","","","",""
"","","","Mundalama","Flash Flood","2019.11.20","162","508","","","","","","","","","","","",""
"","","","Puttalama","Heavy Rain","2019.11.11","2","4","","","","","","2","","","","","",""
"","","දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","","550","2218","0","0","0","","0","10","2","","0","0","0","0"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","","550","2218","0","0","0","","0","10","2","","0","0","0","0"
"","","ගාල්ල","","","","","","","","","","","","","","","","",""
"","2","fhyp","Baddegama","Strong Wind","2019.11.19","20","74","","","","","","","","","","","",""
"","","Galle","","","","","","","","","","","","","","","","",""
"දකුණු පලාත/njd;","","දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","","20","74","0","0","0","","0","0","0","","0","0","0","0"
"khfhzk;/","","හම්බන්තාට","","","","","","","","","","","","","","","","",""
"","","","Katuwana","Lightning / High","","1","4","","","","","","","1","","","","",""
"Southern/ ;","3","`k;ghe;Njhl;il","","","2019.11.19","","","","","","","","","","","","","",""
"","","","Udagomadiya","wind","","1","3","","","","","","1","","","","","",""
"","","Hambantota","","","","","","","","","","","","","","","","",""
"","","දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","","2","7","0","0","0","","0","1","1","","0","0","0","0"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","","22","81","0","0","0","","0","1","1","","0","0","0","0"
"","","","Dehiovita","High Wind","2019.11.18","20","73","","","","","","1","","","","","",""
"","","","Bulathkohupitiya","අකුණුගැසීම/kpd;d","","8","32","","","","","","7","","","","","",""
"","","","","y;/Lightning","2019.11.19","","","","","","","","","","","","","",""
"","","කෑගල්ල","","","","3","14","","","","","","3","","","","","",""
"","","","Ruwanwelle","","","","","","","","","","","","","","","",""
"","4","Nffhiy","","","","1","4","","","","","","1","","","","","",""
"සබරගමුව පලාත","","","","Tree Fallen","","","","","","","","","","","","","","",""
"rg;ufKt","","Kegalle","","","2019.11.18 /19","6","22","","","","","","6","","","","","",""
"Sabaragamuwa","","","","ඉවුරු කඩා","","","","","","","","","","","","","","",""
"","","","Galigamuwa","","","","","","","","","","","","","","","",""
"","","","","වැටීම/kz;rhpT/","2019.11.18","1","5","","","","","","1","","","","","",""
"","","","","Cutting Failure","","","","","","","","","","","","","","",""
"","","","","අකුණුගැසීම/kpd;d","","","","","","","","","","","","","","",""
"","","","Yatiyantota","","2019.11.19","5","21","","","","","","5","","","","","",""
"","","","","y;/Lightning","","","","","","","","","","","","","","",""
"","","","","","","44","171","0","0","0","","0","24","0","","0","0","0","0"
