"","","Godakawela","Lightning
2022.08.01","1","4","","","","","1","","","","","",""
"","","Elapatha","","150","439","","","","","5","","","","","",""
"","","Nivithigala","","16","58","","","","","16","","","","","",""
"","","Kalawana","2022.08.01","1","5","","","","","1","","","","","",""
"","","Ayagama","","1","3","","","","","","","","","","",""
"","","Kahawatta","","10","47","","","","","3","","","","","",""
"","","Weligapola","","5","19","","","","","2","","","1","3","","12 Ranwala Sri Neegrodarama 
Viharaya"
"","","","","","","","","","","","","","","","","01. Batugedara ="
"","රත්නපුර","","","","","","","","","","","","","","","Shaylathalarama Viharaya"
"6",",uj;jpdGhp","","High wind & Heavy","","","","","","","","","","","","","02. Godigamuwa - Al"
"","","","","","","","","","","","","","","","","Masjidul dewasthanaya  03."
"","Rathnapura","","Rain","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","Godigamuwa - Darmashala"
"","","","2022.08.01","","","","","","","","","","","","","pirivena        04. Ratnapura -"
"","","Rathnapura","","1340","5444","","","","","5","","","7","77","357","Jennath jumma"
"","","","","","","","","","","","","","","","","dewasthanaya     05."
"","","","","","","","","","","","","","","","","Ratnapura - Rathneshwaran"
"ස්ත්‍බරගමුව පලාත","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","Kovila    06. Rtnapura - Sri"
"rg;ufKt","","","","","","","","","","","","","","","","Bodhiraja Viharaya"
"","","","","","","","","","","","","","","","","07.iriwanaketiya -"
"Sabaragamuwa","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","Prajashalawa"
"","","Balangoda","2022.08.02","2","7","","","","","2","","","","","",""
"","","Pelmadulle","","139","465","","","","","138","","","","","",""
"","","","2022.08.01","","","","","","","","","","","","",""
"","","Kolonna","","1","4","","","","","1","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","1666","6495","0","0","0","0","174","0","0","8","80","369",""
"","","","Cutting Failure","1","4","","","","","1","","","","","",""
"","","Yatiyantota","","","","","","","","","","","","","",""
"","","","Flood","55","206","","","","","1","","","","","",""
"","කෑගල්ල/Nffhiy/K","","High wind","3","11","","","","","3","","","","","",""
"7","","Dehiovita","2022.08.01","","","","","","","","","","","","",""
"","egalle","","Flood","3","11","","","","","3","","","","","",""
"","","Kegalle","","1","2","","","","","1","","","","","",""
"","","","Tree Fallen","","","","","","","","","","","","",""
"","","Ruwanwelle","","6","23","","","","","6","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","69","257","0","0","0","0","15","0","0","0","0","0",""
