"","Weather Forecast for Main Cities","","","","11-Nov-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","33","23","95","75","Mainly fair"
"Batticaloa","31","24","95","75","A few showers"
"Colombo","32","24","90","60","Mainly fair"
"Galle","31","25","90","75","Showers or thundershowers are likely after 2.00p.m"
"Jaffna","30","24","95","75","A few showers"
"Kandy","30","19","95","65","Showers or thundershowers are likely after 2.00p.m"
"Nuwara-Eliya","21","12","95","65","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","34","23","95","65","Mainly fair"
"Trincomalee","30","23","95","75","Several spells of showers"
"Mannar","31","26","85","75","A few showers"
