"","","","","","","","Page 4","","","","",""
"","","","","","2019.11.30-","","","","","","",""
"","","","Katuwana","","","5","18","","","","","5"
"","","","","","2019.12.03","","","","","","",""
"","","","Thissamaharamaya","","2019.11.29/30","14","62","","","","","2"
"","","හම්බන්මතොට","","","","","","","","","",""
"","16","`k;ghe;Njhl;ilH","Sooriyawewa","Heavy Rain","2019.12.03","2","7","","","","","2"
"දකුනු පලොත/njd;","","","","","","","","","","","",""
"khfhzk;/","","ambantota","Walasmulla","","2019.12.01","4","19","","","","","4"
"Southern/","","","Thangalla","","2019.12.02","1","6","","","","",""
"","","","Belliattha","","2019.12.03","1","3","","","","1",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif/District Total","","","","27","115","0","0","0","1","13"
