"","","","Families","","","","People","","","","","","Families",""
"","","","","","","","","","y","Enterprises","critical","Location","",""
"","","","","","","","","","","Damages","Infastructure","","",""
"","","","","","","","","","","","","s","",""
"Bamunukotuwa","","","1","4","","","","","1","","","","",""
"Narammala
කුරුණෑෙල","","","1","8","","","","","1","","","","",""
"1
FUdhfy; 
Kuliyapitiya West","High Wind","2018.10.01","7","26","","","","","7","","","","",""
"Kurunegala
Kurunegala","","","6","23","","","","","6","1","","","",""
"Panduwasnuwara West","","","11","31","","","","","11","2","","","",""
"දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","26","92","0","0","0","0","26","3","0","0","0","0"
"Mahawewa","","","10","18","","","","","","","","","",""
"Wanathavilluwa","Rain & Flood","2018.10.06","","","","","","","","","","","",""
"වයඹ පලාත","","","","","","","","","","","1 1","","",""
"tlNky;","","","","","","","","","","","","","",""
"Nawagaththegama","High Wind","2018.10.05","11","41","","","","","9","1","","","",""
"khfhzk;","","","","","","","","","","","","","",""
"","","","126","550","","","","","126","","","","",""
"North 
පුත්තලම","","","","","","","","","","","","","",""
"Mahakumbukkadawala","","","386","1328","","","","","386","68","","","",""
"Western
2
Gj;jsk;","High Wind","2018.10.01","","","","","","","","","","","",""
"Pallama","","","146","482","","","","1","117","28","","","",""
"Puttalam","","","","","","","","","","","","","",""
"","","","7","26","","","","","7","","","","",""
"Karuwalagaswewa","","","","","","","","","","","","","",""
"","Lightning","2018.10.09","2","6","1","1","","","","","","","",""
"Arachchikattuwa","","","1","4","","","","","1","","","","",""
"","High Wind","2018.10.01","","","","","","","","","","","",""
"","","","1","5","","","","","1","","","","",""
"Chilaw","","","","","","","","","","","","","",""
"","Flood","2018.10.19","15","65","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","705","2525","1","1","0","1","647","97","2","0","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","731","2617","1","1","0","1","673","100","2","0","0","0"
"ත්‍රීකුණාමලය","","","","","","","","","","","","","",""
"3
Town & Gravets
jp.kiy","Inclement Weather","2018.10.14","312","1203","","","","","","","","","",""
"Trincomalee","","","","","","","","","","","","","",""
"නැගෙනහිර","","","","","","","","","","","","","",""
