"","Weather Forecast for Main Cities","","","","22-Jun-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","",""
"","Max","Min","Max","Min",""
"Anuradhapura","33","25","90","65","Several spells of light showers"
"Batticaloa","33","26","85","60","Mainly fair"
"Colombo","30","26","90","75","Showers at times"
"Galle","30","26","90","80","Showers at times"
"Jaffna","32","28","90","75","Mainly fair"
"Kandy","29","22","95","70","Showers at times"
"Nuwara-Eliya","20","16","95","65","Showers at times"
"Ratnapura","31","24","95","75","Showers at times"
"Trincomalee","34","26","80","55","Mainly fair"
"Mannar","31","28","85","75","Mainly fair"
