"න්‍ගරය","","","","","කාලගුණය"
"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධපුරය","33","25","90","65","සිහින් වැසි වාර කිහිපයක්"
"මඩකලපුව","33","26","85","60","ප්‍රධාන වශහයන් වැසි රහිත"
"හකාළඹ","30","26","90","75","විටින් විට වැසි"
"ගාල්ල","30","26","90","80","විටින් විට වැසි"
"යාපනය","32","28","90","75","ප්‍රධාන වශහයන් වැසි රහිත"
"ම නුවර","29","22","95","70","විටින් විට වැසි"
"නුවරඑළිය","20","16","95","65","විටින් විට වැසි"
"රත්නපුරය","31","24","95","75","විටින් විට වැසි"
"ිකුණාමලය","34","26","80","55","ප්‍රධාන වශහයන් වැසි රහිත"
