"දිස්ත්‍රික්කය","","","","","","","හානි","","நிறுவனங்களின்","","","","","",""
"gpuNjr nra.gp     DS","commenced","FLk;gq;fs;","egHfs;","","Injured","Missing","","gFjpasT","","","fl;likg;Gf;fs;","","vz;zpf;i","FLk;gq;f","egHfs;"
"மாவட்டம் District","","","","","People","People","KOik","","சேதங்கள்; Small,","","","","","",""
"","","Families","People","","","","","Partially","","","Damages to","","f   No.","s;","Persons"
"Division","","","","","","","Fully","","","","","","","",""
"","","","","","","","","","Medium,","","critical","","of Safety","Families",""
"","","","","","","","","","Enterprises","","Infrastructure","","Locations","",""
"","","","","","","","","","Damages","","","","","",""
"Wennappuwa","2024.10.22","259","743","","","","","","","","","","","",""
"Mundalama","2024.11.03","609","2313","","","","","","","","","","","",""
"Kalpitiya","2024.11.04","56","211","","","","","","","","","","","",""
"Puttalama","2024.11.08","651","1845","","","","","2","","","","","1","1","2"
"පුත්තලම","","","","","","","","","","","","","","",""
"Arachchikattuwa","2024.11.08","67","214","","","","","","","","","","","",""
"Gj;jsk;    
1
Flood","","","","","","","","","","","","","","",""
"ෙයඹ පලාත","","","","","","","","","","","","","","",""
"Nattandiya
Puttalam","2024.11.08","157","567","","","","","2","","","","","","",""
"tlNky; khfhzk;","","","","","","","","","","","","","","",""
"Mahawewa
North Western","2024.11.08","56","211","","","","","","","","","","","",""
"Madampe","2024.11.08","195","524","","","","","","","","","","","",""
"Chilaw","2024.11.08","471","1908","","","","","","","","","","","",""
"Wanatavilluwa","2024.11.09","114","501","","","","","","","","","","","",""
"දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","","2635","9037","0","0","0","0","4","","0","","0","1","1","2"
"පළාත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total","","2635","9037","0","0","0","0","4","","0","","0","1","1","2"
"Godakawela
Drowning","2024.11.12","1","3","1","","","","","","","","","","",""
"රත්නපුර","","","","","","","","","","","","","","",""
"","Tree Fallen","7","16","","3","","","7","","","","","","",""
"2
,uj;jpdGhp","2024.11.13","","","","","","","","","","","","","",""
"සබරගමුෙ පලාත","","","","","","","","","","","","","","",""
"Pelmadulla
Drowning","","1","1","1","","","","","","","","","","",""
"Rathnapura","","","","","","","","","","","","","","",""
"rg;ufKt","","","","","","","","","","","","","","",""
"","Tree Fallen
2024.11.14","3","9","","","","","3","","","","","","",""
"Sabaragamuwa","","","","","","","","","","","","","","",""
"දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","","12","29","2","3","0","0","10","","0","","0","0","0","0"
