"","Weather Forecast for Main Cities","","","Date :","21-Feb-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","35","22","90","50","Mainly fair"
"Batticaloa","31","24","90","65","Mainly fair"
"Colombo","32","25","85","65","Mainly fair"
"Galle","32","26","90","80","Mainly fair"
"Jaffna","33","20","95","60","Mainly fair"
"Kandy","31","20","95","55","Mainly fair"
"Nuwara-Eliya","23","7","90","35","Mainly fair"
"Ratnapura","35","23","95","45","Showers or thundershowers are likely after 4.00p.m"
"Trincomalee","31","23","90","60","Mainly fair"
"Mannar","32","23","90","65","Mainly fair"
