"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධ්‍පුරය","34","25","90","60","ප්‍රධ්‍ාන වශහයන් වැසි රහිත"
"","","","","","සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති  විය"
"මඩකලපුව","33","26","85","65",""
"","","","","","ැක"
"හකාළඹ","30","27","80","70","විටින් විට වැසි"
"ගාල්ල","30","28","85","75","විටින් විට වැසි"
"යාපනය","31","28","85","75","ප්‍රධ්‍ාන වශහයන් වැසි රහිත"
"ම නුවර","30","23","85","65","විටින් විට වැසි"
"නුවරඑළිය","20","15","90","70","විටින් විට වැසි"
"රත්නපුරය","34","24","95","65","විටින් විට වැසි"
"ිකුණාමලය","33","26","85","60","ප්‍රධ්‍ාන වශහයන් වැසි රහිත"
