"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","25","90","60","Mainly fair"
"Batticaloa","33","26","85","65","Showers or thundershowers are likely after 2.00p.m"
"Colombo","30","27","80","70","Showers at times"
"Galle","30","28","85","75","Showers at times"
"Jaffna","31","28","85","75","Mainly fair"
"Kandy","30","23","85","65","Showers at times"
"Nuwara-Eliya","20","15","90","70","Showers at times"
"Ratnapura","34","24","95","65","Showers at times"
"Trincomalee","33","26","85","60","Mainly fair"
"Mannar","30","28","85","75","A few showers"
