"","Weather Forecast for Main Cities","","","Date :","22-Feb-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","35","23","90","50","Mainly fair"
"Batticaloa","31","24","90","70","Mainly fair"
"Colombo","32","25","85","60","Mainly fair"
"Galle","32","25","90","70","Showers or thundershowers are likely after 4.00p.m"
"Jaffna","33","20","95","55","Mainly fair"
"Kandy","32","20","95","50","Mainly fair"
"Nuwara-Eliya","22","7","90","35","Mainly fair"
"Ratnapura","36","24","95","40","Showers or thundershowers are likely after 4.00p.m"
"Trincomalee","32","24","90","60","Mainly fair"
"Mannar","32","24","95","70","Mainly fair"
