"","Weather Forecast for Main Cities","","","","2024-08-15"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","32","25","95","60","A few showers"
"Batticaloa","33","26","90","65","Showers or thundershowers are likely after 2.00p.m"
"Colombo","30","26","90","70","Several spells of showers"
"Galle","30","26","90","85","Several spells of showers"
"Jaffna","33","27","95","75","Mainly fair"
"Kandy","30","22","95","70","Several spells of light showers"
"Nuwara-Eliya","21","15","95","75","Several spells of light showers"
"Ratnapura","32","23","95","75","Several spells of showers"
"Trincomalee","34","25","95","70","Mainly fair"
"Mannar","32","26","95","65","Mainly fair"
