"","","","Haliela","","97","406","","","","","74"
"","","","Ella","","157","646","1","","","6","86"
"","","","Passara","","101","388","3","","","5","75"
"","","","Bandarawela","","33","144","","","","","31"
"","","බදුල්ල","Meegahakiula","","4","12","","","","","4"
"","","","Flood","","","","","","","",""
"ඌව","2","gJs;is","Lunugala","2021.10.29","1","6","","","","","1"
"Cth","","Badulla","Welimada","","8","34","","","","","8"
"khfhzk;","","","","","","","","","","",""
"","","","Haldumulla","","6","32","","","","","6"
"Uva","","","","","","","","","","",""
"","","","Ridimaliyadda","","1","6","","","","","1"
"","","","Uwaparanagama","","4","17","","","","","4"
"","","","Soranathota","","8","20","","","","","5"
"","","","Haputale
Landslide","","4","14","","","","","4"
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","819","3198","4","0","0","11","647"
