"","Haldumulla","Landslide Risk","2023.10.14-15","","","","","","","","","4
109","3.Poonagala Tea 
332"
"","","","","","","","","","","","","","Factory 4.Bathgoda"
"","බදුල්ල","","","","","","","","","","","",""
"","","","","","","","","","","","","","Tamil School"
"","1
gJs;is","","","","","","","","","","","",""
"ඌව","","","","","","","","","","","","",""
"","Badulla
Bandarawela","Cutting Faliure","2023.10.14","","","","","","","","","1
3","7 Udaperuwa Muslim"
"Cth khfhzk;","","","","","","","","","","","","","Mosque"
"Uva","","","","","","","","","","","","","1.Kalban Tamil School"
"","Haputale","Landslide Risk","2023.10.21-23","","","","","","","","","2
26","2. Galkanda 
103"
"","","","","","","","","","","","","","Muthuwana School"
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","0
0","0","0","0","0","0","0","0","7
138","442"
"","පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","0
0","0","0","0","0","0","0","0","7
138","442"
"","මාතර","","","","","","","","","","","",""
"","","","2023.09.28 to","","","","","","","","","",""
"","khj;jiw   
2
Devinuwara","Flood / Heavy Rain","","","","","","","","","","1
4","21 Hiththetiya Temple"
"දකුනු පලාත","","","2023.11.03","","","","","","","","","",""
"","Matara","","","","","","","","","","","",""
"njd; khfhzk;","","","","","","","","","","","","",""
"Southern","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","0
0","0","0","0","0","0","0","0","1
4","21"
"","පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","0
0","0","0","0","0","0","0","0","1
4","21"
"","Natthandiya","Flood","2023.11.02/07/08","98
459","","","","","","","","",""
"","Arachchikattuwa","Flood","2023.11.05/08","528
1899","","","","","","","","",""
"","Mundalama","Flood","2023.11.03/06","756
2566","","","","","","","","",""
"","Puttalam","Flash Flood","2023.11.02/07/08","483
1707","","","","","","","","",""
"","","","2023.11.04/07/08/","","","","","","","","","",""
"","Madampe","Flash Flood","","211
679","","","","","2","","","",""
"","","","09","","","","","","","","","",""
"","Wanatnawilluwa
පුත්තලම","Flash Flood","2023.11.08","2
10","","","","1","6","","","1
1","4"
"","3
Chillaw
Gj;jsk;","Flash Flood","2023.11.08","150
590","","","","","","","","",""
"වයඹ පලාත","","","","","","","","","","","","",""
"","Puttalam","","","","","","","","","","","",""
"tlNky; khfhzk;","Mahawewa","Flood","2023.11.06/07/08","109
408","","","","","","","","",""
"North Western","","","","","","","","","","","","",""
"","Dankotuwa","Cutting Faliure","2023.11.05","26
65","","","","","","","","",""
"","Kalpitiya","Flash Flood","2023.11.06","29
121","","","","","","","","",""
"","Wennappuwa","Flash Flood","2023.11.07/10","42
171","","","","","","","","",""
"","Pallama","Flash Flood","2023.11.07","72
210","","","","","","","","",""
"","Mahakubukkadawala","Flash Flood","2023.11.08","3
8","","","","","","","","",""
"","Anamaduwa","Flash Flood","2023.11.08","2
9","","","","","","","","",""
"","Karuwalagaswewa","Lightning","2023.11.08","1
3","","","","","1","1","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","2512
8905","0","0","0","1","9","1","0","1
1","4"
