"","Weather Forecast for Main Cities","","","Date :","21-Aug-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","36","24","90","45","Showers or thundershowers are likely after 2.00p.m"
"Batticaloa","34","26","85","55","Mainly fair"
"Colombo","31","27","85","70","Mainly fair"
"Galle","29","26","90","75","Mainly fair"
"Jaffna","34","26","90","60","Mainly fair"
"Kandy","31","21","90","55","Mainly fair"
"Nuwara-Eliya","23","14","80","50","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","33","24","90","60","Mainly fair"
"Trincomalee","34","25","85","40","Mainly fair"
"Mannar","32","26","85","65","Mainly fair"
