"","Weather Forecast for Main Cities","","","","19-Jun-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","31","26","90","55","A few showers"
"Batticaloa","33","26","85","70","Showers or thundershowers are likely after 2.00p.m"
"Colombo","30","25","90","70","Showers at times"
"Galle","29","28","85","80","Showers at times"
"Jaffna","32","28","80","75","A few showers"
"Kandy","30","21","95","60","Showers at times"
"Nuwara-Eliya","21","15","90","65","Showers at times"
"Ratnapura","32","24","95","65","Showers at times"
"Trincomalee","34","26","80","50","Mainly fair"
"Mannar","30","28","85","75","A few showers"
