"","","High Wind","2023.05.02","1","4","","","","","1","","","","",""
"","","High Wind","2023.05.04","1","3","","","","","1","","","","",""
"","Godakawela","","","","","","","","","","","","","",""
"","","High Wind","2023.05.08","2","7","","","","","2","","","","",""
"","","High Wind","2023.05.11","1","4","","","","","1","","","","",""
"","","High wind","2023.05.09","1","2","","","","","1","","","","",""
"","Nivithigala","","","","","","","","","","","","","",""
"","","Cutting Failure","2023.05.09","1","5","","","","","1","","","","",""
"","","Heavy Rain & High","","","","","","","","","","","","",""
"","Weligepola","","2023.05.04","1","3","","","","","1","","","","",""
"","","Wind","","","","","","","","","","","","",""
"","","Heavy Rain & High","","","","","","","","","","","","",""
"","Balangoda","","2023.05.06","1","2","","","","","1","","","","",""
"","","Wind","","","","","","","","","","","","",""
"","Kahawatta","High Wind","2023.05.07","1","5","","","","","1","","","","",""
"","","High Wind & Rain","2023.05.07","1","1","","","","","1","","","","",""
"","","","2023.05.07","1","5","","","","","1","","","","",""
"","Rathnapura","Lightning","","","","","","","","","","","","",""
"","","","2023.05.08","1","5","","","","","1","","","","",""
"","","Cutting Failure","2023.05.09","1","4","","","","","1","","","","",""
"","රත්නපුර","","","","","","","","","","","","","",""
"5",",uj;jpdGhp","High Wind","2023.05.07","5","17","","","","","5","","","","",""
"","Eheliyagoda
Rathnapura","Lightning","2023.05.11","3","10","","","","","3","","","","",""
"","","Heavy Rain","2023.05.11","8","33","","","","","5","","","","",""
"","","Cutting Failure","2023.05.07","1","3","","","","","1","","","","",""
"","Kolonna","High Wind","2023.05.08","1","3","","","","","1","","","","",""
"","","High Wind","2023.05.11","1","2","","","","","1","","","","",""
"","","High Wind","2023.05.09","1","4","","","","","1","","","","",""
"","Elapatha","","","","","","","","","","","","","",""
"","","Rock Fallen","2023.05.09","1","3","","","","","1","","","","",""
"","Opanayaka","Heavy Rain","2023.05.09","1","1","","","","","1","","","","",""
"","Kiriella","High Wind","2023.05.10","2","9","","","","","2","","","","",""
"","","Lightning","2023.05.10","1","2","","","","","1","","","","",""
"","","High Wind","2023.05.10","1","1","","","","","1","","","","",""
"","Kalawana","Lightning","2023.05.10","2","6","","","","","2","","","","",""
"","","High wind","2023.05.10","1","1","","","","","1","","","","",""
"","","Cutting Failure","2023.05.10","1","4","","","","","1","","","","",""
"","Pelmadulla","High Wind","2023.05.08","3","16","","","","","3","","","","",""
"සබරෙමුව පලාත","","","","","","","","","","","","","","",""
"rg;ufKt","දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","","","47","165","0","0","0","0","44","0","0","0","0","0"
"Sabaragamuwa","","","","","","","","","","","","","","",""
"","","Lightning","2023.05.01","2","9","","","","","2","","","","",""
"","Deraniyagala","","","","","","","","","","","","","",""
"","","Tree Fallen","2023.05.08","3","11","","","","","3","","","","",""
"","Rambukkana","Tree Fallen","2023.05.11","","","","","","","1","","","","",""
"","","Lightning","2023.05.02","1","4","","","","","1","","","","",""
"","","High Wind","2023.05.02","1","5","","","","","1","","","","",""
"","Warakapola","Heavy Rain","2023.05.07","1","4","","","","","1","","","","",""
"","","Tree Fallen","2023.05.09","1","4","","","","","1","","","","",""
"","","Lightning","2023.05.09","1","7","","","","","1","","","","",""
"","","Tree Fallen","2023.05.03","1","4","","","","","1","","","","",""
"","Aranayake","","","","","","","","","","","","","",""
"","","Tree Fallen","2023.05.08","1","4","","","","","1","","","","",""
"","","Tree Fallen","2023.05.02","2","9","","","","","2","","","","",""
"","Kegalle","","","","","","","","","","","","","",""
"","කෑෙල්ල","","","","","","","","","","","","","",""
"","","Tree Fallen","2023.05.03","2","8","","","","","2","","","","",""
"6","Nffhiy","","","","","","","","","","","","","",""
"","","Tree Fallen","2023.05.02","1","4","","","","","1","","","","",""
"","Kegalle","","","","","","","","","","","","","",""
"","Dehiovita","Tree Fallen","2023.05.11","1","5","","","","","1","","","","",""
"","","Tree Fallen","2023.05.03","1","5","","","","","1","","","","",""
"","","","2023.05.02","1","2","","","","","1","","","","",""
"","","Tree Fallen","","","","","","","","","","","","",""
"","Bulathkohupitiya","","2023.05.08","1","5","","","","","1","","","","",""
"","","Cutting Failure","2023.05.08","1","5","","","","","1","","","","",""
"","","Lightning","2023.05.09","1","2","","","","","1","","","","",""
"","Ruwanwella","","","","","","","","","","","","","",""
"","","Tree Fallen","2023.05.11","1","4","","","","","1","","","","",""
"","","Tree Fallen","2023.05.08","1","5","","","","","1","","","","",""
"","Yatiyanthota","","","","","","","","","","","","","",""
"","","Wind","2023.05.11","1","5","","","","","1","","","","",""
"","","Tree Fallen","2023.05.09","1","2","","","","","1","","","","",""
"","Mawanella","","","","","","","","","","","","","",""
"","","Cutting Failure","2023.05.08","3","16","","","","","3","","","","",""
