"Yatiyanta","2019.06.14","1","4","","","","","1","","",""
"දිස්ත්‍රික් එකතුල    khtl;l $l;Lj;njhif  District Total","","54","170","0","0","0","0","4","0","0","0"
"පළාත් ඵකතුල khfhz $l;Lj;njhif Province Total","","138","481","0","0","0","0","79","0","0","3"
"Arachchikattuwa","2019.01.24","1598","5719","","","","","","","",""
"Mundalama","","2041","7404","","","","","","","",""
"","2019.01.24","","","","","","","","","",""
"Pallama","","1823","6173","","","","","","","",""
"Mahawewa","2019.01.24","2164","8238","","","","","","","",""
"පුත්ත඼ම","","","","","","","","","","",""
"3
Gj;jsk   
Drought
Naththandiya","2019.01.24","1019","3365","","","","","","","",""
"Puttalam","","","","","","","","","","",""
"Nawagaththegama","2019.01.24","148","392","","","","","","","",""
"Wanathavilluwa","","455","1572","","","","","","","",""
"Karuwalagaswewa","2019.01.24","1137","3348","","","","","","","",""
"Mahakubukkadawala","","3042","9562","","","","","","","",""
"දිස්ත්‍රික් එකතුල    khtl;l $l;Lj;njhif  District Total","","13427","45773","0","0","0","0","0","0","0","0"
"Ambanpola","2019.04.03","541","1613","","","","","","","",""
"Galgamuwa","2019.04.11","355","1439","","","","","","","",""
"Udubaddawa","2019.05.08","288","991","","","","","","","",""
"Kotawehera","2019.05","994","3025","","","","","","","",""
"කුරුණ්ග඼","","","","","","","","","","",""
"Polpithigama","2019.05 සිට","1762","5688","","","","","","","",""
"4
Drought
FUdhfy;","","","","","","","","","","",""
"Kuliyapitiya - East","2019.05.15","293","1263","","","","","","","",""
"Kurunegala","","","","","","","","","","",""
"Maaspotha","2019.04 සිට","59","214","","","","","","","",""
"Weerambugedara","2019.05 සිට","135","515","","","","","","","",""
"Giribawa","2019.5.28","544","1373","","","","","","","",""
"Polgahawela","2019.01 සිට","185","548","","","","","","","",""
