"දදනික තත්ත්ව වාර්තාව-ශ්‍රී ලංකාව/epiyik mwpf;if-,yq;if/Situation Report- Sri Lanka දිනය/jpfjp /Date :23","July 2024 at 0900hrs","","","","","","","","","",""
"","","","","නිවාස්ත්‍ හානි","","","","","","",""
"පරිපාලන ප්‍රලද්ශය நிர்வாகப் பிரிவு","බලපෑමට ලක්වු","","","Nrjkile;j","","ලවනත් හානි பிற பாதிப்புகள்","","ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd","","",""
"Administrative purview","ghjpf;fg;gl;l    Affected","","","tPLfs; Houses","","Other Damages","","miktplk; Safe Location","","",""
"","තුවාලවු","අතුරුදහ","","","","","","","","",""
"","","","","Damaged","","","","","","",""
"ආරම්භක දිනය","පුද්ගලයින්","න්වූ","","","","","","","","",""
"mdu;j;jk;","මිය යෑම්","පුද්ගලයින්","","","","කුඩා හා මධය","","","","",""
"ආපදාව","","","","","","","","","","","ලවනත් කරුණු"
"පළාත khfhzk;","kuzq;f
fhakil","fhzhky;","","","","පරිමාණ වයාපාරික","ඉතා වැදගත් යටිතල","ආරක්ිත","","",""
"Muk;gpj;j jpfjp  
mdHj;jk      
#","","","","","","","","","","","NtW Fwpg;Gf;fs;"
"","s; 
e;NjhH","NghNdhH","","","","","පහසුකම් වලට වූ 
ස්ත්‍","රථාන","පවුේ","",""
"Province","","","පූර්ණ","","ස්ත්‍","රථාන சிறிய,","","","","","Remarks"
"Date of 
Disaster
ප්‍රා.ලේ. ලකා               
පවුේ ස්ත්‍ංඛ්‍යාව","Deaths
පුද්ගලයින්","","","","අර්ධ හානි","நடுத்தர,","හානි mbg;gilf;","ස්ත්‍ංඛ්‍යාව","ස්ත්‍ංඛ්‍යාව","පුද්ගලයින්",""
"දිස්ත්‍රික්කය","","","හානි","","","நிறுவனங்களின்","","","","",""
"commenced","Injured","Missing","","","gFjpasT","","fl;likg;Gf;fs;","vz;zpf;i","","egHfs;",""
"FLk;gq;fs; 
gpuNjr nra.gp     DS","egHfs;","","","","","","","","FLk;gq;f","",""
"மாவட்டம் District","People","People","KOik","","","சேதங்கள்; Small,","","","","",""
"Families","People","","","","Partially","","Damages to","f   No.","s;","Persons",""
"Division","","","Fully","","","","","","","",""
"","","","","","","Medium,","critical","of Safety","Families","",""
"","","","","","","Enterprises","Infrastructure","Locations","","",""
"","","","","","","Damages","","","","",""
"Elapatha
Flood
2024.06.22","","","","","","","","1","3","17",""
"Flood
2024.06.22","","","","","","","","1","1","4",""
"Rathnapura","","","","","","","","","","",""
"Tree fallen
2024.07.17
128","526","","","","126","2","","","","",""
"2024.07.20
1","6
1","","","","1","","","","","",""
"Opanayaka
Tree Fallen","","","","","","","","","","",""
"2024.07.21
1","3","","","","1","","","","","",""
"රත් පුර              
Balangoda
Tree Fallen
2024.07.19/20/21
17","64
4","","","","17","","","","","",""
"1
,uj;jpdGhp","","","","","","","","","","",""
"Tree Fallen
1
Rathnapura","2","","","","1","","","","","",""
"Weligapola
2024.07.19","","","","","","","","","","",""
"High wind
1","5","","","","1","","","","","",""
"Kolonna
Tree Fallen
2024.07.20
7","21","","","","7","","","","","",""
"Tree Fallen
2024.07.19
4","16","","","","4","","","","","",""
"ස්ත්‍බරගමුව පලොත","","","","","","","","","","",""
"Imbulpe
2024.07.19
8","29","","","","8","","","","","",""
"rg;ufKt","","","","","","","","","","",""
"High wind","","","","","","","","","","",""
"Sabaragamuwa
2024.07.20
3","10","","","","3","","","","","",""
"Godakawela
Tree Fallen
2024.07.19/20/21
16","57","","","","15","1","","","","",""
"Tree Fallen
1","1","","","","1","","","","","",""
"Ayagama
2024.07.18","","","","","","","","","","",""
"High wind
1","1","","","","1","","","","","",""
"Kirielle
Tree Fallen
2024.07.20/22
2","7","","","","2","","","","","",""
"Nivithigala
High wind
2024.07.20
1","4","","","","1","","","","","",""
"Kalthota
Tree Fallen
2024.07.17
1","2","","","","1","","","","","",""
"High wind 
1","4","","","","1","","","","","",""
"Pelmadulle
2024.07.22","","","","","","","","","","",""
"Tree fallen
1","5","","","","1","","","","","",""
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total
195","763
0
5","0","","0","192","3","0","2","4","21",""
"පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total
195","763
0
5","0","","0","192","3","0","2","4","21",""
"කිලින ොච්චිය","","","","","","","","","","","Drinking water is being"
"2
Karachchi
Drought
2024.06.24
239
fpspnehr;rp","732","","","","","","","","","","distributed for drought"
"","","","","","","","","","","","areas"
"Killinochchi","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total
239","732
0
0","0","","0","0","0","0","0","0","0",""
"උතුරු පලොත","","","","","","","","","","",""
"tl khfhzk; 
යොප ය","","","","","","","","","","",""
"Northen
3
Chankanai
Drought
2024.06.25
8118
aho;g;ghzk  ;","25506","","","","","","","","","",""
"Jaffna","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total
8118","25506
0
0","0","","0","0","0","0","0","0","0",""
"පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total
8357","26238
0
0","0","","0","0","0","0","0","0","0",""
"අම්පොර","","","","","","","","","","","02 Persons have gone"
"mk;ghiw    
4
Addalachchenai
Boat Missing
2024.07.13","","2","","","","","","","","","to sea for fishing"
"","","","","","","","","","","","activities"
"Ampara","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total
0
 ැනග හිර පලොත","0
0
0","2","","0","0","0","0","0","0","0",""
"fpof;F","","","","","","","","","","",""
